"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",2.27022481418101e-06,479.5,0.391383553348498,19,5.7561865935653,1,3.95908866436405,1,0.88897451230099,1316,0,1060.5
"Memory CD4 T","Platelet","CD40LG","CD9",2.36526314225752e-06,386.3,0.466005282174015,12,4.48164103823998,17,3.29853663743507,13,0.911175913848399,829,0,1060.5
"DC","Platelet","HBEGF","CD9",3.84773374135323e-06,652.9,0.452597046132871,14,4.51063175011556,15,3.11713563642931,20,0.851785414881803,2155,0,1060.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",6.6381452302313e-06,263.7,0.201960100248863,88,1.78581355559032,107,3.76581320226778,7,0.957375802751821,56,0,1060.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.27220876588143e-05,267.9,0.164979038831176,126,1.77351193546053,109,3.88233294736325,3,0.960395029378687,41,0,1060.5
"Naive CD4 T","Platelet","CD40LG","CD9",1.5699737178548e-05,460.9,0.322033311671665,32,4.3528639210057,21,3.13371763724288,18,0.895041695812349,1173,0,1060.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRA3",2.0093878600823e-05,431.3,0.0958497137131391,391,1.40245165299921,195,1.39163444184365,311,0.940622672287978,199,0,1060.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",2.04146084360339e-05,628.9,0.731249713731019,3,5.70828862371772,2,2.53835424508839,51,0.858123966817354,2028,0,1060.5
"CD8 T","Platelet","IL32","ITGB3",2.25154143545157e-05,329.3,0.282828587172591,42,3.88715863163007,41,1.92695651573727,103,0.930339088341404,400,0,1060.5
"CD14+ Mono","CD14+ Mono","S100A8","CD68",2.34829940714111e-05,292.1,0.159235943675582,139,1.55268579780487,147,3.7657553470619,8,0.95225381009802,106,0,1060.5
"CD8 T","NK","HLA-B","KLRD1",3.04876982490154e-05,412.1,0.0922542013525249,425,1.47195019273762,166,1.52282612918839,234,0.943276750442476,175,0,1060.5
"Platelet","Platelet","F13A1","ITGB1",3.29258966028055e-05,407.9,0.488963243276116,10,4.42441053060927,18,2.69359280805993,41,0.906555373532762,910,0,1060.5
"Platelet","CD8 T","PF4","CXCR3",3.62771647405742e-05,478.9,0.253750536338329,54,5.70355576977874,4,3.92904485202725,2,0.890503531267613,1274,0,1060.5
"CD8 T","NK","B2M","CD247",4.28195286973491e-05,463.5,0.0587490484650631,925,1.50292929366298,159,1.65953121987223,171,0.966666640533435,2,0,1060.5
"NK","NK","SPON2","ITGB2",4.8009433725958e-05,298.1,0.18259035542264,111,2.07777745604469,97,2.6382206049228,46,0.943274626603349,176,0,1060.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRB1",4.83180691005059e-05,509.3,0.0916382027200036,437,1.32966468995704,228,1.1459209121022,466,0.932483833074746,355,0,1060.5
"Platelet","Memory CD4 T","PF4","CXCR3",5.66589018908427e-05,533.3,0.212911349247956,81,5.65716477053634,5,3.8746124711893,5,0.881650842024506,1515,0,1060.5
"CD8 T","DC","B2M","CD1C",6.14786443954245e-05,444.7,0.0928367316665606,419,1.91278296924787,100,1.10811911745056,489,0.945720342966413,155,0,1060.5
"DC","Platelet","LGALS1","ITGB1",6.40345826767455e-05,436.7,0.112982137415306,273,1.41337114139731,186,1.58683924695545,199,0.927339884999179,465,0,1060.5
"CD8 T","NK","B2M","KLRD1",7.07978244436302e-05,396.3,0.0870786961884351,503,1.68292755057766,118,1.52438917008708,233,0.955987404477652,67,0,1060.5
"Platelet","DC","PF4","CXCR3",7.08493383368149e-05,479.1,0.253817574680507,53,5.70363192153157,3,3.86436046754669,6,0.890516409086099,1273,0,1060.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",7.81499769514098e-05,297.1,0.130078133763061,199,1.54038417767509,152,3.88227509215737,4,0.955619027343223,70,0,1060.5
"Platelet","Platelet","TLN1","ITGB3",7.91254736531951e-05,463.9,0.33206082083187,28,4.20359983207865,30,2.47114383196374,55,0.895927022617163,1146,0,1060.5
