"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Memory CD4 T","Platelet","CD40LG","CD9",4.2311387548672e-06,424,0.446426666545517,14,4.21176214249095,22,3.13812638598285,19,0.908052073002152,912,0,1153
"Platelet","CD14+ Mono","PF4","LRP1",4.2311387548672e-06,523,0.379662955233886,22,5.75355268643583,3,3.84047338424415,4,0.885614220946819,1433,0,1153
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",5.75332736e-06,281.4,0.213279200957528,83,1.8409035979045,110,3.83781205567691,5,0.958074873625194,56,0,1153
"Platelet","DC","PF4","CXCR3",7.9936019197952e-06,444.6,0.328983185673827,33,5.79872926527402,2,3.98134572048237,1,0.902191508422752,1034,0,1153
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",9.5703125e-06,286.6,0.166497566588106,125,1.82633021376052,113,3.92458135238451,2,0.961029039357474,40,0,1153
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.79784097184448e-05,678.2,0.922267197492454,3,5.9332500373795,1,2.500893657281,51,0.853117719681769,2183,0,1153
"CD8 T","FCGR3A+ Mono","HLA-C","LILRA3",2.091059712e-05,494,0.0951175745909286,420,1.32498065578136,243,1.26018186093816,379,0.936300507858656,275,0,1153
"CD14+ Mono","CD14+ Mono","S100A8","CD68",2.36924384876352e-05,312.6,0.161100816252656,135,1.56387499465191,157,3.81925891453049,6,0.952063509891131,112,0,1153
"Platelet","FCGR3A+ Mono","PF4","LRP1",2.92630511158272e-05,580.6,0.313300949158733,42,5.69765886478194,4,3.74645737123063,9,0.875516938152575,1695,0,1153
"CD8 T","DC","B2M","CD1C",3.01864579776512e-05,445.8,0.098129607457192,393,2.13311184284956,96,1.15658570676852,452,0.949412731762443,135,0,1153
"CD8 T","NK","HLA-B","KLRD1",3.40427736936688e-05,451.6,0.0908195647741961,463,1.4061835612177,199,1.44812017276356,253,0.941983540844851,190,0,1153
"NK","NK","SPON2","ITGB2",3.40450877079552e-05,318,0.172814123646445,120,2.04049072691169,100,2.59230862704941,45,0.943722837410068,172,0,1153
"Naive CD4 T","Platelet","CD40LG","CD9",3.595969647e-05,518.8,0.295569506903638,45,4.0698724396798,32,2.95958746252433,25,0.889327853462803,1339,0,1153
"CD8 T","Platelet","IL32","ITGB3",5.15181083243888e-05,375.4,0.284771214078074,49,3.93343893002601,41,1.79889051702761,131,0.925626509400926,503,0,1153
"CD8 T","NK","B2M","KLRD1",5.20322570256383e-05,422.2,0.0860499987703764,504,1.61718222249673,139,1.47243130304726,238,0.954936832945859,77,0,1153
"Platelet","Platelet","F13A1","ITGB1",6.19696412642304e-05,495.8,0.427804257696599,15,4.18830491063038,24,2.43677771824128,54,0.893628403801749,1233,0,1153
"CD8 T","FCGR3A+ Mono","HLA-A","LILRB1",6.56582941605888e-05,563.4,0.0851611491299801,515,1.26033768960081,274,1.06414691442308,528,0.932550368125324,347,0,1153
"B","CD8 T","HLA-DQA1","LAG3",8.71901211803647e-05,615.6,0.251272565025986,63,1.36264716335829,218,2.13188642194086,78,0.880615012918942,1566,0,1153
"NK","CD8 T","HLA-B","CD8A",9.13094028509183e-05,527.2,0.0823517712309912,553,1.07856083044031,398,1.3420313666842,325,0.94016299882088,207,0,1153
"CD14+ Mono","NK","S100A8","ITGB2",9.53895099450048e-05,318.6,0.127581302009058,223,1.55549800348375,158,3.65658414371124,11,0.959261285565145,48,0,1153
"NK","CD8 T","HLA-A","CD8A",9.54292069341584e-05,502,0.0836871041250012,533,1.13208169297048,355,1.40002501640454,290,0.942999441198122,179,0,1153
"CD8 T","FCGR3A+ Mono","HLA-C","LILRB1",9.54292069341584e-05,551.4,0.0812973301753778,569,1.31939449694695,247,1.11713703043816,479,0.934578382587104,309,0,1153
"Platelet","Memory CD4 T","PF4","CXCR3",9.77258880124352e-05,555,0.216875529256992,78,5.67126444823145,5,3.78692597315707,7,0.882204507247209,1532,0,1153
