"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"CD14+ Mono","CD14+ Mono","S100A8","CD68",4.03701842087055e-07,284.7,0.160059360729851,150,1.58474179735665,135,3.81654554395165,6,0.95235835282477,107,0,1025.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",7.87082879842245e-07,290.3,0.133624734121638,216,1.57387450782281,138,3.92153432335142,2,0.9558321915324,70,0,1025.5
"Platelet","CD14+ Mono","PF4","LRP1",3.26810395105787e-06,488.7,0.421674938831317,20,6.41991080067296,2,3.90194611946894,3,0.886614837791122,1393,0,1025.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",4.77028715463551e-06,256.9,0.204988566058018,94,1.83338716456397,104,3.83528961945991,5,0.957667226892278,56,0,1025.5
"Memory CD4 T","Platelet","CD40LG","CD9",4.96585194381929e-06,405.9,0.443380442011808,19,4.4960954416868,23,3.24232555913507,16,0.90616365535932,946,0,1025.5
"CD14+ Mono","NK","S100A8","ITGB2",5.88524194896973e-06,311.5,0.118945908178623,295,1.47842278284756,171,3.51458915343944,9,0.957472165946413,57,0,1025.5
"CD14+ Mono","NK","CD14","ITGB2",6.35507863634923e-06,380.1,0.13159933479675,221,1.28828638608764,245,2.15676737826822,81,0.932927997639169,328,0,1025.5
"CD14+ Mono","B","S100A8","CD69",1.0406257373102e-05,378.1,0.118055409500434,301,1.11751570371919,355,2.94891720037276,26,0.942320034003852,183,0,1025.5
"CD14+ Mono","Memory CD4 T","S100A8","CD69",1.19252202707277e-05,387.1,0.114434270059561,317,1.10130645805893,372,2.92390329651003,31,0.941467535010461,190,0,1025.5
"Naive CD4 T","Platelet","CD40LG","CD9",1.2698272293984e-05,498.7,0.295111689208773,48,4.35817352585973,25,3.03042135740891,23,0.88736766179383,1372,0,1025.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.42867556900752e-05,262.1,0.171133650119409,137,1.82251987503013,106,3.94027839885969,1,0.960769909421231,41,0,1025.5
