"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",1.31379523957128e-06,498.3,0.471353945603635,15,7.07850790932979,2,4.02302785429916,2,0.886120980825573,1413,0,1059.5
"Platelet","DC","PF4","CXCR3",1.96916116389089e-06,378.9,0.367888680901085,36,7.18569824881581,1,4.21299356436228,1,0.913876763592619,797,0,1059.5
"CD14+ Mono","CD14+ Mono","S100A8","CD68",5.00973540203241e-06,319.9,0.160663657208285,169,1.54963283257774,263,3.87515418941661,7,0.953032382557585,101,0,1059.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",5.25054458387421e-06,323.1,0.139283705756262,219,1.53934639984629,266,3.99052345567343,4,0.956370739755778,67,0,1059.5
"Memory CD4 T","Platelet","CD40LG","CD9",7.63464753093949e-06,377.5,0.425610408442707,27,5.54023901327128,17,3.45792554049643,16,0.914961694255638,768,0,1059.5
"DC","Platelet","LGALS1","ITGB1",1.48137382500446e-05,443.7,0.119848619584137,298,1.5487472445526,264,1.65213881050846,202,0.930852047611655,395,0,1059.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",1.61737026317276e-05,289.3,0.195067824839394,108,1.73783823016894,211,3.80724947786424,8,0.95718907522081,60,0,1059.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.67862738777029e-05,294.9,0.169109616882562,149,1.72755179743748,216,3.92261874412106,6,0.960244308276244,44,0,1059.5
"Platelet","Memory CD4 T","PF4","CXCR3",1.77083822478712e-05,502.7,0.210920320808978,99,6.9914183653434,3,3.99711260334892,3,0.889315327245741,1349,0,1059.5
"CD14+ Mono","NK","CD14","ITGB2",2.48341752224475e-05,389.9,0.156885981760874,176,1.33854350131652,329,2.26072673195578,80,0.935192266648687,305,0,1059.5
"CD14+ Mono","NK","S100A8","ITGB2",2.97138175811786e-05,333.3,0.124284745340163,279,1.51909936582539,268,3.65025455875918,10,0.958950509076569,50,0,1059.5
"CD14+ Mono","NK","S100A9","ITGB2",3.00425070535902e-05,351.9,0.107745834999321,384,1.50881293309393,271,3.765623825016,9,0.961885041685491,36,0,1059.5
"NK","NK","SPON2","ITGB2",3.15368407656486e-05,310.5,0.169849482615648,147,2.10213864467539,122,2.64514943720563,54,0.944223079810327,170,0,1059.5
"CD14+ Mono","DC","TNFSF13B","HLA-DPB1",3.64741258464819e-05,416.5,0.095849375706739,473,1.44568803917153,292,2.42707179292648,66,0.942543253994193,192,0,1059.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","ITGB2",4.30748212734069e-05,406.1,0.0947257728983819,489,1.27551131639822,360,3.17102994976478,23,0.953259068659736,99,0,1059.5
