"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",6.46546904476299e-07,495.1,0.442785150727228,11,5.73451545794155,2,3.93125716905656,3,0.885581939739995,1420,0,1039.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",5.11798532519171e-06,253.9,0.204186834251513,67,1.8429811721177,100,3.76946653069536,6,0.957326453539361,57,0,1039.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",6.70046948495527e-06,258.5,0.16972683426733,107,1.84186026451392,101,3.91795591352954,4,0.960680307104594,41,0,1039.5
"Memory CD4 T","Platelet","CD40LG","CD9",7.55593839264456e-06,449.3,0.386132316592377,17,4.16990118522837,25,3.0758662821898,18,0.897490396621216,1147,0,1039.5
"Naive CD4 T","Platelet","CD40LG","CD9",1.06053086895823e-05,502.1,0.308851765854899,28,4.10002245064118,26,3.04197763637101,20,0.886752136521292,1397,0,1039.5
"CD14+ Mono","CD14+ Mono","S100A8","CD68",1.09307973068996e-05,279.9,0.159839586598582,121,1.59523205843977,121,3.7409845850731,7,0.952035122239696,111,0,1039.5
"Platelet","Memory CD4 T","PF4","CXCR3",1.89516523223248e-05,439.5,0.290361958301467,34,5.68151787811229,4,3.95014962185005,2,0.898706989955186,1118,0,1039.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",2.05106051207792e-05,663.1,0.904784346475334,3,6.01260570677585,1,2.47412465835798,54,0.847899074020174,2218,0,1039.5
"FCGR3A+ Mono","Platelet","LGALS1","ITGB1",2.77168232173142e-05,400.3,0.118259352254603,239,1.46582787245688,149,1.72006466156611,158,0.928769654687351,416,0,1039.5
"Platelet","Platelet","F13A1","ITGB1",3.31575350747175e-05,413.5,0.508200871551827,8,4.43574692743903,18,2.65643447513396,41,0.906476842074415,961,0,1039.5
"NK","NK","SPON2","ITGB2",5.18208196253479e-05,293.1,0.173248985499184,102,1.98980628250778,93,2.50142847279342,52,0.942230213655185,179,0,1039.5
"DC","DC","HLA-DPB1","CD4",5.32314758322553e-05,458.3,0.0846586938951418,474,1.33285001223214,193,1.87306711163318,118,0.926956257183548,467,0,1039.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",6.42943851010135e-05,284.5,0.13286393867373,189,1.59411115083599,122,3.88947396790728,5,0.955785632094451,67,0,1039.5
"DC","DC","HLA-DRB1","CD4",7.02207442363759e-05,464.5,0.0872440491106583,449,1.3221796861612,200,1.82472433338081,133,0.925046231017736,501,0,1039.5
"FCGR3A+ Mono","NK","HLA-B","KLRD1",7.09243532848083e-05,490.5,0.0826630709890601,502,1.19719530687414,249,1.16907024600603,429,0.93816683567999,233,0,1039.5
"Platelet","DC","PF4","CXCR3",7.54379429510375e-05,487.1,0.236922772665632,54,5.62566254138383,6,4.00505899947783,1,0.889066649095224,1335,0,1039.5
