"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",2.41880836788578e-06,511.3,0.396561755313238,18,5.91973036997507,4,3.86285524922087,4,0.886719257567393,1416,0,1114.5
"Memory CD4 T","Platelet","CD40LG","CD9",1.11572446166884e-05,431.1,0.421442675754834,15,4.23773251030517,30,3.12145667033744,19,0.904781889935536,977,0,1114.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",1.14649748823603e-05,274.9,0.223336340319099,69,1.84906333224401,129,3.84377393719481,5,0.957838650414463,57,0,1114.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.25630196978747e-05,276.9,0.176645529940107,96,1.83605868723861,132,3.92783269154648,2,0.960993250107013,40,0,1114.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.84847670734283e-05,625.7,0.791109935570927,3,6.32345974304364,1,2.5796665310413,45,0.864827382213244,1965,0,1114.5
"Platelet","DC","PF4","CXCR3",1.84847670734283e-05,450.1,0.290345816052748,41,5.9232941342439,3,3.93761262341179,1,0.899514845751336,1091,0,1114.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRA3",1.86883133660878e-05,441.5,0.0982131645071564,360,1.4175208288965,211,1.34580541872445,317,0.940215400336731,205,0,1114.5
"CD8 T","NK","HLA-B","KLRD1",2.08591543283714e-05,430.5,0.0919832128216589,414,1.43221657493365,206,1.47002592411022,239,0.942506841177543,179,0,1114.5
"Platelet","FCGR3A+ Mono","PF4","LRP1",3.05033532116013e-05,603.3,0.288764659396568,42,5.83175743882938,7,3.74659666872203,9,0.869783894682259,1844,0,1114.5
"CD8 T","NK","B2M","KLRD1",3.06078347064628e-05,404.5,0.0879399872773368,447,1.65128010154931,164,1.49531277742878,226,0.955449911415576,71,0,1114.5
"CD8 T","DC","B2M","CD1C",3.38157640863796e-05,438.5,0.0961274499898766,379,2.03797170368346,111,1.13294023234301,443,0.947576218339717,145,0,1114.5
"CD8 T","Platelet","IL32","ITGB3",3.49428576803729e-05,349.5,0.284786912259279,44,4.03420012964712,37,1.83639679059027,117,0.928235096319029,435,0,1114.5
"CD14+ Mono","CD14+ Mono","S100A8","CD68",4.30941623950096e-05,307.3,0.16486269707193,114,1.54654742400201,180,3.79224467618498,8,0.951264872791013,120,0,1114.5
"Memory CD4 T","Platelet","IL32","ITGB3",4.79555953876648e-05,366.7,0.264711157028455,49,3.96202446273803,45,1.76944363268827,136,0.925761826157096,489,0,1114.5
"Memory CD4 T","NK","B2M","KLRD1",4.99493209042281e-05,449.1,0.0836780750427099,493,1.37723190780525,221,1.28845475481623,334,0.954380596002968,83,0,1114.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",5.01402505016602e-05,313.5,0.130396416678168,187,1.5335427789966,185,3.87630343053665,3,0.95488817060878,78,0,1114.5
"NK","NK","SPON2","ITGB2",5.12128329222446e-05,318.3,0.163010650015441,119,1.96371170687713,116,2.48819222520018,54,0.941852916317779,188,0,1114.5
"Naive CD4 T","Platelet","CD40LG","CD9",5.44644773830602e-05,546.5,0.264353442080625,51,4.0844995341195,34,2.8985137040117,27,0.882707737911133,1506,0,1114.5
"Platelet","Platelet","F13A1","ITGB1",5.77138118692319e-05,453.1,0.443939691009553,12,4.42099024297586,22,2.51187343217827,52,0.900466175380774,1065,0,1114.5
"Platelet","Memory CD4 T","PF4","CXCR3",7.38491135512958e-05,503.9,0.234380034114958,60,5.85747451714529,5,3.83784133061978,6,0.889415164220842,1334,0,1114.5
"CD8 T","FCGR3A+ Mono","HLA-A","LILRB1",8.17126866821112e-05,564.5,0.0794952716498496,544,1.21461520490763,270,1.03423520626749,526,0.931471858106943,368,0,1114.5
"Memory CD4 T","NK","HLA-B","KLRD1",8.55375316956511e-05,532.1,0.0789626079575507,549,1.16634947500355,298,1.1126135200409,464,0.938229076691544,235,0,1114.5
"Naive CD4 T","NK","B2M","KLRD1",9.19540723592568e-05,526.3,0.0791848848549629,547,1.08831214894768,364,1.05147030434857,512,0.953163944933332,94,0,1114.5
"Platelet","CD8 T","PF4","CXCR3",9.29096069348162e-05,506.1,0.233361707556275,61,5.85627689492233,6,3.82683707948123,7,0.88920085052998,1342,0,1114.5
"CD14+ Mono","NK","S100A8","ITGB2",9.3813434974366e-05,319.1,0.120037542575987,219,1.49243994308145,195,3.53784815261058,11,0.957839707306632,56,0,1114.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRB1",9.53035982367483e-05,538.1,0.0772828307603506,561,1.28904539248611,246,1.13341846943327,442,0.933748843682649,327,0,1114.5
"CD8 T","FCGR3A+ Mono","HLA-B","LILRB1",0.000100510234478028,604.3,0.0767354136297574,567,1.13955770526607,317,0.994676975918845,566,0.927314821021889,457,0,1114.5
"Platelet","Platelet","TGFB1","ITGB3",0.000102288356008052,449.1,0.337990220516455,28,4.32868857589887,25,2.27160297451,63,0.902632170245238,1015,0,1114.5
"CD8 T","CD8 T","HLA-A","CD8A",0.000103197522236266,549.9,0.0766945612403562,570,0.981049784306631,459,1.1863526670613,407,0.940662031235964,199,0,1114.5
"Memory CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",0.000110044913199412,569.1,0.453653968375462,11,4.8364103664205,16,2.10649074151053,82,0.878241324656308,1622,0,1114.5
"Memory CD4 T","Platelet","IL16","CD9",0.000119919079066932,486.1,0.143294783598719,153,4.0646006602385,35,2.80401121469954,32,0.899267614319455,1096,0,1114.5
"Platelet","Platelet","TLN1","ITGB3",0.000122884072151081,532.3,0.330354034405458,30,4.27601417191807,28,2.24016898693651,67,0.886567896375057,1422,0,1114.5
"CD8 T","CD8 T","HLA-C","CD8A",0.000130066857438169,523.1,0.0745600672035569,597,1.05547997188512,389,1.28553593022708,337,0.942652454892166,178,0,1114.5
"CD8 T","CD8 T","HLA-B","CD8A",0.000136735584795211,587.9,0.0740319362119273,603,0.90599228466507,534,1.14679443671266,431,0.937024795073865,257,0,1114.5
"NK","Platelet","CALR","ITGA2B",0.00014605370003443,318.1,0.213463861167738,71,5.98792701000531,2,2.77481647938481,36,0.931486215018747,367,0,1114.5
"NK","FCGR3A+ Mono","SPON2","ITGB2",0.00014867981961626,346.1,0.140081678079424,164,1.82451546622661,133,2.1867916939614,73,0.937560222570703,246,0,1114.5
"CD8 T","FCGR3A+ Mono","B2M","LILRB1",0.000154609924156345,533.7,0.0733624222433454,618,1.35862123188173,223,1.01996382923741,543,0.943472853843675,170,0,1114.5
"Memory CD4 T","Memory CD4 T","B2M","CD3D",0.000165958292100339,1090.9,0.0349826087377241,1626,0.613512334796164,1107,0.452388198028562,1598,0.965214508237378,9,0,1114.5
"Memory CD4 T","FCGR3A+ Mono","HLA-C","LILRA3",0.000179883841420878,570.5,0.0861232454466752,472,1.08937470293088,363,0.933749480637882,637,0.936414957525849,266,0,1114.5
"Memory CD4 T","DC","B2M","CD1C",0.000191466837874456,493.5,0.0914687416152289,418,1.76392350993941,139,0.926082209730461,645,0.946328530525173,151,0,1114.5
"Memory CD4 T","NK","B2M","CD247",0.000202566623373753,511.7,0.0566561169802744,925,1.22429133944321,266,1.45278408667889,246,0.965803781914009,7,0,1114.5
"Platelet","CD8 T","SNCA","LAG3",0.000208355804961624,676.3,0.592010105969762,6,3.58070658014806,65,2.1192394309078,80,0.857725559928005,2116,0,1114.5
"CD8 T","NK","HLA-E","KLRC1_KLRD1",0.000211555567802346,649.1,0.0870176885080254,456,0.966706054963161,470,1.0158489682155,547,0.919388812377556,658,0,1114.5
"Platelet","B","MYL9","CD69",0.000216200683802655,358.3,0.192349690817094,81,4.42792708003282,20,2.55443672733624,49,0.924231941117036,527,0,1114.5
"Naive CD4 T","NK","HLA-B","KLRD1",0.00022305050877378,625.1,0.070332868981278,665,0.990139252919336,453,0.971490401292613,588,0.934789068327096,305,0,1114.5
"Platelet","Memory CD4 T","MYL9","CD69",0.000224238359420572,360.3,0.191977979916895,82,4.42695264929756,21,2.46795017765075,55,0.924164184906479,529,0,1114.5
"Memory CD4 T","Platelet","SELPLG","ESAM",0.000224479229538329,881.1,0.112432411023359,261,3.43971599596387,75,1.39973615685031,273,0.826888784306097,2682,0,1114.5
"CD8 T","FCGR3A+ Mono","CD99","PILRA",0.00023329616110546,565.7,0.085396142389063,477,1.20599293562817,275,1.37600208780502,291,0.9189325821976,671,0,1114.5
"Memory CD4 T","Platelet","HSP90AA1","ITGB3",0.000248108315233724,558.7,0.129998776803469,189,3.63271633150555,62,1.39022651509679,280,0.896825369677557,1148,0,1114.5
"Platelet","Platelet","CALM3","MYLK",0.000258362148156676,548.7,0.373297765947672,22,3.17741109409372,86,2.10833703882854,81,0.885850542289028,1440,0,1114.5
"CD8 T","CD8 T","HLA-E","CD8A",0.000276116489978379,662.3,0.0724240032057927,634,0.814765579411994,694,1.08055009452701,487,0.930607256511357,382,0,1114.5
"Memory CD4 T","CD8 T","HLA-A","CD8A",0.000288260537270964,656.5,0.0707606697983913,659,0.812618576281127,700,0.983555133460628,577,0.93837435105343,232,0,1114.5
"Platelet","Platelet","CALM3","GP6",0.000305624915972687,594.1,0.37962537522483,21,3.32341737259278,84,1.98940376621323,91,0.876773100147344,1660,0,1114.5
"B","NK","HLA-B","KLRD1",0.0003116326805447,580.3,0.0728958729920204,625,1.04247310764859,402,1.08425990352516,483,0.935871553024348,277,0,1114.5
"NK","FCGR3A+ Mono","HLA-C","LILRA3",0.000321580155026435,398.1,0.105041473594446,299,1.60285566552201,172,1.50564578376191,220,0.942076777825309,185,0,1114.5
"Platelet","NK","CLEC1B","KLRB1",0.000326021101313179,677.7,0.472331933336531,10,4.60192167645779,18,1.98121804276987,93,0.856227286166757,2153,0,1114.5
"B","NK","B2M","KLRD1",0.000329563755830714,627.7,0.0754377314914626,588,0.847363824717565,630,0.882078232344824,695,0.952069896163369,111,0,1114.5
"CD14+ Mono","NK","CD14","ITGB2",0.000366182222271182,377.7,0.142304053721094,157,1.31933296802727,237,2.19972564811963,71,0.934382417168692,309,0,1114.5
"Platelet","NK","GP1BA","ITGAM_ITGB2",0.000380895170528905,453.3,0.2112593887012,74,4.28346145536431,27,1.94666320661887,98,0.905780449058391,953,0,1114.5
