"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"CD14+ Mono","CD14+ Mono","S100A8","CD68",4.603986570223e-07,308.7,0.160723748969508,121,1.54843890644956,179,3.79376553072265,7,0.951123349631078,121,0,1115.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",4.97911994524154e-07,314.3,0.1281343594829,193,1.5365225858622,181,3.88218149831455,3,0.954766260480936,79,0,1115.5
"Platelet","CD14+ Mono","PF4","LRP1",2.13928736394235e-06,503.7,0.394102035638606,17,6.0768010348628,4,3.84213011965555,5,0.887427987149397,1377,0,1115.5
"Memory CD4 T","Platelet","CD40LG","CD9",7.63185805120744e-06,427.5,0.427950178930215,13,4.32818169623521,26,3.17185604177971,18,0.905674075637669,965,0,1115.5
"CD14+ Mono","NK","CD14","ITGB2",8.69954569552314e-06,375.3,0.145350030529519,149,1.32790234504389,232,2.19573912843843,71,0.934563403478837,309,0,1115.5
"CD14+ Mono","Memory CD4 T","S100A8","CD69",1.00479938540755e-05,384.3,0.115318955405571,235,1.10680454256454,352,2.93213793620882,26,0.94170128189987,193,0,1115.5
"CD14+ Mono","NK","S100A8","ITGB2",1.07821935596341e-05,316.7,0.121468164516552,214,1.50113512209477,189,3.54246007852114,11,0.958004670407288,54,0,1115.5
"Naive CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",1.07858041911092e-05,700.3,0.277024556171808,46,4.9105372631744,17,1.8887149560231,108,0.850409406811628,2215,0,1115.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",1.14889704329288e-05,274.1,0.218462718213943,67,1.85390565754091,127,3.84511115545315,4,0.957783399616202,57,0,1115.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.22258416973823e-05,277.1,0.174165800939273,100,1.84198933695355,129,3.93352712304506,1,0.960950298728685,40,0,1115.5
"CD14+ Mono","B","S100A8","CD69",1.2379307891864e-05,392.1,0.112654000271052,253,1.09494600197233,367,2.99103116089237,23,0.941056159835059,202,0,1115.5
"CD14+ Mono","NK","S100A9","ITGB2",1.30687963800441e-05,346.3,0.0968384918699525,371,1.48921880150741,196,3.63087604611305,10,0.961155643969113,39,0,1115.5
"Naive CD4 T","Platelet","CD40LG","CD9",1.46492638776909e-05,550.9,0.257652095456803,51,4.16199106305629,35,2.91298998144388,27,0.881657964455411,1526,0,1115.5
"Platelet","FCGR3A+ Mono","PF4","LRP1",1.70242592305715e-05,572.3,0.309747696002302,34,6.00601609696335,6,3.74429481481085,9,0.874824699292568,1697,0,1115.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.90912250109349e-05,623.3,0.78793108489446,3,6.49363774081212,1,2.57668131421468,44,0.863248443440919,1953,0,1115.5
"Platelet","DC","PF4","CXCR3",1.90912250109349e-05,451.3,0.300979811500346,37,6.08019980051994,3,3.91153836675116,2,0.899119054219248,1099,0,1115.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","ITGB2",2.20725303945752e-05,352.7,0.101905026279095,321,1.34066919620104,225,3.2174571686954,17,0.954326551189943,85,0,1115.5
"CD14+ Mono","Naive CD4 T","S100A8","CD69",2.23417044113787e-05,427.7,0.100293085221519,332,1.03994229441526,413,2.83782971976229,31,0.93774886889414,247,0,1115.5
"CD14+ Mono","FCGR3A+ Mono","CD14","ITGB2",2.4012432563262e-05,432.7,0.121940582042461,211,1.16743641915016,306,1.87073621861269,112,0.928984396265345,419,0,1115.5
"CD14+ Mono","Platelet","S100A8","CD68",3.43106236595721e-05,436.5,0.0878386665612813,441,1.16284197568323,310,3.27699516701461,15,0.935005596579283,301,0,1115.5
"CD14+ Mono","CD8 T","S100A8","CD69",4.4960806349834e-05,482.9,0.0868695202549502,452,0.980209997992567,475,2.72764008034091,39,0.933420601958473,333,0,1115.5
"NK","NK","SPON2","ITGB2",4.90631484209356e-05,314.5,0.166617034247497,111,1.98827630041603,113,2.50271365272168,50,0.94255111791099,183,0,1115.5
"CD14+ Mono","DC","TNFSF13B","HLA-DPB1",4.93847490903537e-05,401.1,0.0853244432438703,468,1.47612305010789,199,2.4982040241428,51,0.943405873571598,172,0,1115.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","ITGB2",6.80165424889407e-05,386.9,0.0812421023904637,516,1.32875287561368,231,3.3058731362873,14,0.957741326074749,58,0,1115.5
"CD14+ Mono","DC","S100A8","ITGB2",7.06940335290566e-05,421.3,0.0809456537070947,520,1.16875070924387,305,2.87195969599741,29,0.949037446122501,137,0,1115.5
"Platelet","Platelet","TGFB1","ITGB3",7.1594855618573e-05,420.1,0.356717212139379,25,4.71057264511521,19,2.37005487736492,55,0.9094212008168,886,0,1115.5
"Platelet","Memory CD4 T","PF4","CXCR3",7.55479152802817e-05,508.5,0.2378759094762,56,6.00762296795047,5,3.8204622728012,6,0.88793578463706,1360,0,1115.5
