"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",2.98663373327586e-06,490.4,0.402737423762066,19,5.73145208369465,2,3.8506883530471,2,0.888613944363163,1384,0,1045
"CD8 T","Platelet","IL32","ITGB3",7.73652557001188e-06,309.4,0.284116245819893,45,4.1144608392825,23,1.93043072512576,100,0.933351965390268,334,0,1045
"Memory CD4 T","Platelet","CD40LG","CD9",1.05868702170952e-05,434.6,0.403861621739278,18,3.93501567586807,29,3.12721467924221,18,0.902009180530086,1063,0,1045
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",1.46612781845812e-05,265,0.211544136923221,84,1.82349219923808,135,3.82712843757099,4,0.957602366047475,57,0,1045
"CD8 T","FCGR3A+ Mono","HLA-C","LILRA3",1.57440796695855e-05,436.2,0.0981735033594077,385,1.41983409368811,216,1.33623565967813,329,0.9402028139521,206,0,1045
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.64665589471819e-05,269.8,0.16779409473762,125,1.81364821026695,139,3.9188303472319,1,0.960923567806859,39,0,1045
"CD8 T","DC","B2M","CD1C",1.78977776888413e-05,408.8,0.0987290823737806,380,2.21033578116131,102,1.23564534949113,395,0.95111979617084,122,0,1045
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.90990919992334e-05,616,0.916902210441513,3,5.93317740679205,1,2.47951428420487,52,0.864807068277675,1979,0,1045
"CD8 T","NK","HLA-B","KLRD1",3.06956626770379e-05,423.6,0.0919310352856952,440,1.47050898506423,204,1.48481998354636,250,0.942857110916085,179,0,1045
"NK","NK","SPON2","ITGB2",4.01945782880682e-05,298.6,0.176370645096859,115,2.0515169255381,109,2.53566392690149,50,0.943311319216467,174,0,1045
"CD8 T","Platelet","CALR","ITGA2B",4.01945782880682e-05,407.6,0.14254943653752,174,5.33891915303077,7,2.37109449438008,58,0.915841446843799,754,0,1045
"CD8 T","NK","B2M","KLRD1",4.45353981786976e-05,394.4,0.0887341120246636,474,1.70529200329651,160,1.5239877417991,226,0.955900503801869,67,0,1045
"Naive CD4 T","Platelet","CD40LG","CD9",4.48163644163086e-05,524.8,0.28147173011951,47,3.81614116991651,33,2.94678786713963,24,0.884854915986115,1475,0,1045
"Platelet","Memory CD4 T","PF4","CXCR3",5.30092872788564e-05,517.4,0.2354723096342,66,5.650066642132,5,3.80269121958946,5,0.885322127073015,1466,0,1045
"CD14+ Mono","CD14+ Mono","S100A8","CD68",6.06452017738194e-05,303,0.155326341084578,146,1.51672433858985,193,3.74579696230348,7,0.950869060648647,124,0,1045
"Platelet","CD8 T","PF4","CXCR3",6.78230632375148e-05,491.4,0.25781315751939,54,5.67489006009002,3,3.79568976390153,6,0.889843681279503,1349,0,1045
"CD8 T","NK","B2M","CD247",6.98504247189094e-05,469.4,0.0586321517537255,920,1.49415790232725,200,1.63144657030689,179,0.966455592265444,3,0,1045
"Platelet","Platelet","TGFB1","ITGB3",7.55943739672683e-05,405.6,0.34414086729099,31,4.41749078504641,18,2.37661809192413,56,0.91019221866965,878,0,1045
"CD8 T","Platelet","HSP90AA1","ITGB3",8.00592819450901e-05,476.2,0.142985163936602,173,3.77342275034713,36,1.5624656752044,207,0.908489013597586,920,0,1045
"CD8 T","FCGR3A+ Mono","HLA-C","LILRB1",8.23450655631256e-05,523.2,0.0829597082867343,536,1.33078664293825,247,1.14890753223359,464,0.933728967937988,324,0,1045
"Platelet","Platelet","F13A1","ITGB1",8.83232801979299e-05,506.8,0.40876050517044,17,3.9792609407201,27,2.3502019120603,59,0.888538822752007,1386,0,1045
"Platelet","Platelet","TLN1","ITGB3",9.28618761225176e-05,486.2,0.319479360862106,34,4.31577222742593,20,2.33291577816215,60,0.893208143412843,1272,0,1045
"CD8 T","FCGR3A+ Mono","HLA-A","LILRB1",9.88980182415331e-05,554,0.0853515887122364,506,1.24944961207699,291,1.04379384330522,556,0.931319527203282,372,0,1045
"NK","FCGR3A+ Mono","SPON2","ITGB2",0.000100095838391853,321.6,0.152810661761175,154,1.91575927223956,122,2.21243630540683,68,0.939353376176161,219,0,1045
"Platelet","DC","PF4","CXCR3",0.000117881652486369,516.6,0.235996696856711,65,5.65064930055495,4,3.73801396520549,8,0.885435001081507,1461,0,1045
"CD14+ Mono","NK","S100A8","ITGB2",0.000119464206990136,306.4,0.12639506334949,229,1.50638760486436,196,3.55271542776688,10,0.958086343159486,52,0,1045
"Naive CD4 T","NK","B2M","KLRD1",0.000121117375036851,516.8,0.079716561769896,579,1.14489384259349,345,1.07075398916655,525,0.953585711559285,90,0,1045
"CD8 T","Platelet","IL16","CD9",0.000123650223145804,530.4,0.126042760787114,231,3.74706076509402,42,3.12362226199089,19,0.891085338452129,1315,0,1045
"CD8 T","FCGR3A+ Mono","HLA-B","LILRB1",0.000126438072559033,594.8,0.0820500001518965,545,1.17130686043557,328,1.01107648868096,584,0.927110816199956,472,0,1045
"CD8 T","FCGR3A+ Mono","B2M","LILRB1",0.000126438072559033,513.6,0.0791966921994943,584,1.40608987866784,219,1.0502442469337,547,0.943533191041671,173,0,1045
"CD14+ Mono","CD8 T","S100A8","CD69",0.000127524303909567,493,0.0858705806972753,500,0.955471140508397,530,2.72261138763501,42,0.932618691770992,348,0,1045
"CD14+ Mono","CD14+ Mono","S100A9","CD68",0.00015110459241855,312.6,0.123202860501177,243,1.50688034961872,195,3.83749887196439,3,0.954692757812672,77,0,1045
"NK","Platelet","CALR","ITGA2B",0.000153344241684192,304.6,0.225427327112032,71,5.58896017977195,6,2.74180800547617,40,0.931902975361401,361,0,1045
"CD14+ Mono","Naive CD4 T","S100A8","CD69",0.000157203715468103,446.8,0.0966883805305773,393,1.00358953717952,485,2.79116426823938,37,0.936252470749825,274,0,1045
"CD8 T","NK","HLA-E","KLRC1_KLRD1",0.00016375297924376,606.8,0.0925357310684748,430,1.06959044911069,423,1.07409279307569,521,0.921382293128754,615,0,1045
"Platelet","CD8 T","SNCA","LAG3",0.00016656724733322,645.6,0.584006757773066,8,3.57661103109842,61,2.16963927654827,73,0.862191170723802,2041,0,1045
"CD8 T","CD8 T","HLA-A","CD8A",0.000183259652381295,567.6,0.0755268764108616,629,0.969628348076293,515,1.18533204158046,433,0.939637979590679,216,0,1045
"CD14+ Mono","B","S100A8","CD69",0.000190660145720157,388.8,0.115368789207743,279,1.08668141617136,406,3.00889822011006,21,0.941325019015683,193,0,1045
"B","FCGR3A+ Mono","CD52","SIGLEC10",0.000192168525425946,629.6,0.0920385044081832,437,1.07034254186505,421,0.966811115005749,635,0.921478591547368,610,0,1045
"Memory CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",0.000210711206986874,568,0.436737111123848,13,4.63229727045161,16,2.08814613599259,79,0.876267475791685,1687,0,1045
"CD8 T","NK","GZMA","F2R",0.000216102431601449,796.6,0.16676086671023,128,1.28862222742835,266,1.4909801952079,245,0.848539805696937,2299,0,1045
"B","NK","HLA-B","KLRD1",0.000226116798635069,570.8,0.0740443726465327,656,1.1137790641561,374,1.08139251448536,514,0.936741195565392,265,0,1045
"CD14+ Mono","CD14+ Mono","S100A8","ITGB2",0.000229584782927045,432.8,0.0791403266411538,587,1.12643372601898,363,3.06350388681173,20,0.947610196943932,149,0,1045
"CD8 T","CD8 T","HLA-C","CD8A",0.000242059347199216,540.8,0.0734103222844291,665,1.05096537893755,444,1.29044573050883,361,0.941773838346569,189,0,1045
"CD14+ Mono","B","TNFSF13B","HLA-DPB1",0.00024756881824038,465.2,0.0732899682249473,668,1.21116759325015,307,2.37425939584815,57,0.937654955314763,249,0,1045
"Platelet","Platelet","CALM3","GP6",0.000261967706711466,542.4,0.388071396483478,22,3.37708654784482,79,2.04816694107447,85,0.88462515611477,1481,0,1045
"Naive CD4 T","Platelet","IL32","ITGB3",0.000262752653691196,435.6,0.185007513545595,103,3.75887236271222,41,1.35887589833634,313,0.918703710925242,676,0,1045
"CD8 T","CD8 T","HLA-B","CD8A",0.000270618943822957,614.8,0.0726053294904286,680,0.891485596434865,613,1.1526146869562,459,0.935903937375331,277,0,1045
"CD14+ Mono","CD14+ Mono","CD14","ITGB2",0.000272614650096862,565.6,0.0937665672508034,414,0.950968185857985,537,1.71735146598631,151,0.918598070124919,681,0,1045
"Platelet","Platelet","CALM3","MYLK",0.000280722218376244,500,0.380279122564826,23,3.22723655351935,87,2.17724600407635,72,0.893194641587107,1273,0,1045
"B","NK","B2M","KLRD1",0.000295354847769193,607.4,0.0760695576566536,623,0.918249760842264,574,0.909211033518765,692,0.952538304892464,103,0,1045
"Naive CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",0.000304035005351332,674.4,0.304384332797004,38,4.51342276450005,17,1.90771932389,103,0.855329628184938,2169,0,1045
"Platelet","Memory CD4 T","MYL9","CD69",0.000310483468374461,374.2,0.198162789469728,90,4.12403534724436,21,2.2803482817698,64,0.919703238235482,651,0,1045
"CD8 T","CD8 T","HLA-E","CD8A",0.000321867351872377,658.2,0.0736850062559483,660,0.841901384532288,704,1.11626865097503,486,0.93031390097854,396,0,1045
"Naive CD4 T","Platelet","IL16","CD9",0.000325269546977227,561.4,0.117188955133599,268,3.72912704158075,47,2.77041803517744,39,0.887500344831828,1408,0,1045
"Platelet","B","MYL9","CD69",0.000331437988639462,375.2,0.196110397323424,92,4.11866477867262,22,2.3801284721572,55,0.919317971363146,662,0,1045
"Naive CD4 T","NK","HLA-B","KLRD1",0.000342974064719269,621.2,0.0702508405140802,713,1.03812121535152,454,0.999211721564091,598,0.935164950366429,296,0,1045
"CD8 T","FCGR3A+ Mono","CD99","PILRA",0.000345385968464464,610.6,0.0781184617885921,597,1.16550960871842,333,1.28377987023556,364,0.917338014029297,714,0,1045
"CD14+ Mono","Memory CD4 T","S100A8","CD69",0.000365173806938542,386.6,0.116576180555322,271,1.09205198474309,400,2.90911802972266,26,0.941611873752715,191,0,1045
"CD14+ Mono","NK","CD14","ITGB2",0.000366244903870348,365,0.149754641037412,161,1.33092206470336,246,2.20656300694146,69,0.934474479261148,304,0,1045
"CD14+ Mono","Platelet","S100A8","CD68",0.000383222740957907,417.4,0.0919274882750729,441,1.17077106607548,330,3.29331669208877,14,0.937063412494666,257,0,1045
"CD14+ Mono","Platelet","S100A9","CD68",0.000385858375729472,450.8,0.07291570402737,675,1.16092707710435,335,3.38501860174968,11,0.941895901690392,188,0,1045
"CD14+ Mono","Platelet","LGALS1","ITGB1",0.000388508491969896,490,0.0987506734315979,379,1.26153482636264,279,2.04309781371353,87,0.919436972103349,660,0,1045
"CD14+ Mono","FCGR3A+ Mono","S100A8","ITGB2",0.000390601585513641,334.6,0.109510929458665,309,1.37062995156582,230,3.22948780627222,16,0.955110887124057,73,0,1045
"CD14+ Mono","CD8 T","S100A8","ITGB2",0.000399254965958819,484.4,0.0691945365132976,735,1.04646414412108,449,2.89848017221019,28,0.944174536070343,165,0,1045
"CD8 T","DC","CCL5","CCR1",0.000416141642259834,810.2,0.120540508288259,255,1.20034960280479,314,1.63466945136113,176,0.85062878042529,2261,0,1045
"CD14+ Mono","NK","HLA-B","KLRD1",0.000444644900848542,545.4,0.0762378244650294,617,1.15752506135599,337,1.12237943938531,478,0.937600653316444,250,0,1045
