"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Memory CD4 T","Platelet","CD40LG","CD9",3.86172187944563e-06,412.9,0.426597999554272,14,4.88533194613577,19,3.26057229904522,14,0.908012077688931,918,0,1099.5
"Platelet","CD14+ Mono","PF4","LRP1",3.86172187944563e-06,507.7,0.369647155419733,19,6.33573520624964,3,3.9491796610391,2,0.884776159917548,1415,0,1099.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",6.50205147182402e-06,266.7,0.208679691448037,66,1.79314310156587,101,3.79614408843513,7,0.957331342525807,60,0,1099.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",9.46806577010911e-06,272.1,0.163989468817428,111,1.7745404086704,102,3.87078642674318,4,0.960382742469266,44,0,1099.5
"Platelet","FCGR3A+ Mono","PF4","LRP1",9.87216303231429e-06,542.9,0.323889563130519,26,6.29816773139043,4,3.86915665729814,5,0.877867039773279,1580,0,1099.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.00815994556595e-05,624.7,0.906450558709619,2,6.55115226631498,1,2.55120541051927,49,0.86045712900818,1972,0,1099.5
"Platelet","DC","PF4","CXCR3",1.00815994556595e-05,430.5,0.302969866016093,29,6.37148170031953,2,4.07888789572447,1,0.90238229139534,1021,0,1099.5
"Naive CD4 T","Platelet","CD40LG","CD9",1.83679308592722e-05,484.3,0.297069332902878,32,4.7659677870601,22,3.10101179252845,19,0.891742243688453,1249,0,1099.5
"CD14+ Mono","CD14+ Mono","S100A8","CD68",2.38323079823537e-05,297.1,0.159709658465386,122,1.53211854878429,140,3.78949967406827,8,0.951522494649728,116,0,1099.5
"Platelet","Platelet","F13A1","ITGB1",3.31721863020735e-05,399.9,0.493301101442629,8,4.99185826640961,17,2.74548620145966,39,0.911911451076081,836,0,1099.5
"Memory CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",4.15215026235915e-05,573.7,0.453817927648573,11,5.14451831384092,15,2.1077313431748,82,0.87404127063378,1661,0,1099.5
"Memory CD4 T","Platelet","IL32","ITGB3",4.15413577410257e-05,344.3,0.268106876510784,42,4.37427800939974,39,1.88304305388334,112,0.928905551498132,429,0,1099.5
"Memory CD4 T","Platelet","IL16","CD9",4.80123520791904e-05,459.7,0.142090193852456,152,4.72090003411754,25,2.97577594150539,24,0.903924195014067,998,0,1099.5
"Platelet","Memory CD4 T","PF4","CXCR3",6.29251013216758e-05,484.9,0.237838328292987,55,6.29551560480292,5,3.93969956252652,3,0.891190371734964,1262,0,1099.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRA3",7.51501548456131e-05,485.7,0.0952280918771315,379,1.29794543875167,226,1.21280852070569,411,0.935001443190654,313,0,1099.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRB1",7.59313347684374e-05,502.5,0.0888279046759053,432,1.34980260388072,207,1.14563277818688,451,0.934613993782505,323,0,1099.5
"Memory CD4 T","NK","B2M","KLRD1",8.15833785836469e-05,451.1,0.0834393582352667,491,1.38534317602967,185,1.2491621181926,391,0.953597923160001,89,0,1099.5
"NK","NK","SPON2","ITGB2",8.34979807041897e-05,307.7,0.168138953879387,102,2.02570729795902,94,2.53845365171653,51,0.942269943760479,192,0,1099.5
"CD8 T","FCGR3A+ Mono","HLA-A","LILRB1",9.11407948394256e-05,517.5,0.0923920561497969,395,1.28908106034281,229,1.06582803185908,502,0.932536529379517,362,0,1099.5
"Platelet","Platelet","TLN1","ITGB3",9.76423250140422e-05,468.9,0.357851921068953,20,4.77597213507181,21,2.46551078951554,56,0.896183755451216,1148,0,1099.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",0.000106174614855787,305.5,0.125506712584311,204,1.51351585588883,142,3.86414201237631,6,0.95496976777733,76,0,1099.5
"CD8 T","FCGR3A+ Mono","B2M","LILRB1",0.000109744519796122,487.9,0.0844366061917588,479,1.4306172473827,167,1.04387651151891,521,0.944211114604063,173,0,1099.5
"Memory CD4 T","NK","HLA-B","KLRD1",0.000110801780960463,527.3,0.0809381503532617,522,1.18871146802325,275,1.08989459128939,485,0.937431017380524,255,0,1099.5
"CD8 T","DC","B2M","CD1C",0.000120688761727083,410.1,0.0983427907605739,352,2.25990606060212,90,1.24121514724004,398,0.952166432896421,111,0,1099.5
"CD8 T","Platelet","IL32","ITGB3",0.000133718242137464,330.3,0.289630648889688,34,4.45049306109071,38,1.96221265796278,100,0.931413538787016,380,0,1099.5
"CD14+ Mono","NK","S100A8","ITGB2",0.000138098949785385,306.3,0.122274734297329,218,1.49676459198927,150,3.58352268060317,10,0.958278107806135,54,0,1099.5
"Platelet","Memory CD4 T","MYL9","CD69",0.000138695296859345,352.1,0.213679865366283,63,4.60191557211917,31,2.5975257110307,47,0.925375312794292,520,0,1099.5
"Memory CD4 T","DC","B2M","CD1C",0.000142579126027111,451.3,0.093271120361763,390,1.96799795457264,95,1.01586988094218,549,0.950946107570294,123,0,1099.5
"Naive CD4 T","NK","B2M","KLRD1",0.000143882400042925,524.5,0.0790716592743688,550,1.10433169141323,322,1.01961755468189,544,0.952393777399929,107,0,1099.5
"Platelet","CD8 T","SNCA","LAG3",0.000152224491642089,590.5,0.593356190344945,6,4.06203210638071,58,2.2894006912263,65,0.87127724884804,1724,0,1099.5
"CD8 T","FCGR3A+ Mono","HLA-B","LILRB1",0.000178136817025643,559.1,0.0901302482595204,414,1.20556080171069,264,0.988252627419476,574,0.928282115178725,444,0,1099.5
"CD8 T","NK","HLA-B","KLRD1",0.000184430786427495,422.7,0.0939087561605555,386,1.45219483638713,160,1.41888350039104,273,0.941651009834736,195,0,1099.5
"NK","Platelet","CALR","ITGA2B",0.000197984902868183,334.7,0.201415485515214,71,6.20386941247197,6,2.69157917728944,42,0.927838239680998,455,0,1099.5
"Platelet","DC","APP","CD74",0.0001987224730651,326.1,0.118125638291309,239,2.17594536226061,92,2.48521595640905,55,0.948409760141786,145,0,1099.5
"Platelet","B","MYL9","CD69",0.000206398496895806,362.7,0.201129625882022,72,4.57009539450745,33,2.62000398641843,46,0.923258267792377,563,0,1099.5
"CD8 T","NK","B2M","KLRD1",0.000209636882566498,395.9,0.0879764209575353,444,1.67725128205914,110,1.47450738449047,247,0.954755417386073,79,0,1099.5
"Platelet","Platelet","TGFB1","ITGB3",0.00022392787254276,497.3,0.260683317677357,44,4.46035547191677,37,2.16500807348338,74,0.892732419768778,1232,0,1099.5
