"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",1.7785954432539e-06,512.6,0.39845495050055,16,6.21564900906896,3,3.91307941677564,2,0.885468281881148,1405,0,1137
"Memory CD4 T","Platelet","CD40LG","CD9",5.27180356965729e-06,417.2,0.417705256724514,14,4.53284285291673,23,3.14757103618829,18,0.908810533926511,894,0,1137
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",8.47102741180009e-06,603.2,0.702337674041939,2,6.59892886022459,1,2.63506153115361,44,0.867173329824807,1832,0,1137
"Platelet","FCGR3A+ Mono","PF4","LRP1",1.16733903264004e-05,566.2,0.326307677387729,30,6.1578436785052,6,3.8215675182156,7,0.874942876821871,1651,0,1137
"Naive CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",1.41642638428888e-05,666.4,0.293924061255015,39,4.97408501101728,17,1.97034124027787,100,0.856751338447249,2039,0,1137
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",1.68596226776125e-05,282.4,0.21405259600796,71,1.80776569639819,140,3.78953959051237,8,0.957834223564412,56,0,1137
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.78378545387593e-05,285.8,0.171549558384532,105,1.79612112246014,142,3.88191437751331,5,0.960772099750937,40,0,1137
"Naive CD4 T","Platelet","CD40LG","CD9",1.83425680150218e-05,511.2,0.27265953405425,47,4.39035548800954,33,3.00101362697183,21,0.889527241228763,1318,0,1137
"Platelet","DC","PF4","CXCR3",3.19126766510573e-05,467,0.28683389574706,42,6.20536266321151,4,3.97520896194023,1,0.896616945607429,1151,0,1137
"NK","NK","HLA-B","KLRD1",3.30116401713941e-05,410.6,0.0990049991822805,367,1.5594520809684,184,1.61773272332343,195,0.943681569822878,170,0,1137
"Memory CD4 T","Platelet","IL32","ITGB3",3.41343829001189e-05,362.4,0.25704336016328,52,4.23770942683526,44,1.81617348909532,129,0.9278596786852,450,0,1137
"Platelet","Platelet","F13A1","ITGB1",3.42362175116764e-05,425.4,0.457833830616309,12,4.79834659260876,19,2.64185989230007,43,0.907431703876865,916,0,1137
"NK","NK","B2M","KLRD1",3.89349269988666e-05,402,0.0890128945046426,461,1.81092115802905,138,1.59139043899051,202,0.955194094141729,72,0,1137
"NK","NK","SPON2","ITGB2",3.90928260629873e-05,317.8,0.166798281751219,113,2.02779700313734,116,2.58217082231773,50,0.943374280033907,173,0,1137
"Platelet","CD8 T","PF4","CXCR3",5.28785349266333e-05,505.4,0.245291579650627,56,6.15855645957754,5,3.88272786011619,4,0.889137365729413,1325,0,1137
"NK","CD14+ Mono","SPON2","ITGB2",5.66599518044887e-05,432.6,0.102628566346729,339,1.63673283402854,172,1.98731864465246,96,0.928916616421947,419,0,1137
"CD14+ Mono","CD14+ Mono","S100A8","CD68",5.79053562520756e-05,315.8,0.158032634896477,130,1.50873850250082,191,3.78107018549579,9,0.951263168389378,112,0,1137
"NK","FCGR3A+ Mono","HLA-B","LILRB1",7.23832253868129e-05,525.4,0.0894456746376164,454,1.3540581136876,239,1.19048949394724,426,0.931099832640061,371,0,1137
"NK","FCGR3A+ Mono","HLA-A","LILRB1",7.59100189146702e-05,495.4,0.0900239051608552,446,1.42759697246233,220,1.26850063148959,373,0.934669370532506,301,0,1137
"NK","FCGR3A+ Mono","HLA-C","LILRA3",7.80911992533283e-05,416.6,0.106924538540295,306,1.60577925287397,176,1.46862956937404,260,0.940252690842155,204,0,1137
"NK","FCGR3A+ Mono","HLA-C","LILRB1",7.88292960753692e-05,479.4,0.0883862526686365,470,1.51961138856889,189,1.32157776689152,338,0.936707383934325,263,0,1137
"Platelet","Memory CD4 T","PF4","CXCR3",7.9398740840926e-05,508.4,0.242825108791315,57,6.15577745859381,7,3.89085508355706,3,0.888638292849415,1338,0,1137
"NK","FCGR3A+ Mono","CD99","PILRA",8.03222327284171e-05,450.8,0.102226879157355,341,1.48646482508972,202,1.66202394735707,176,0.929837862227511,398,0,1137
"Memory CD4 T","NK","B2M","KLRD1",8.73229974551862e-05,482.6,0.0815519997781298,543,1.3230418445901,252,1.23967447756601,389,0.953283031806809,92,0,1137
"CD14+ Mono","CD14+ Mono","S100A9","CD68",8.92227887115425e-05,325.6,0.126653118123485,213,1.49709392856277,196,3.87344497249674,6,0.95463719612677,76,0,1137
"NK","FCGR3A+ Mono","SPON2","ITGB2",9.56654554568261e-05,349,0.140759240813652,175,1.86910943775775,130,2.17622110878852,78,0.938666419947234,225,0,1137
"NK","FCGR3A+ Mono","B2M","LILRB1",0.000100969109592804,495.4,0.0804183472165485,559,1.60552719074825,177,1.16414720961431,446,0.945034491061524,158,0,1137
"NK","NK","HLA-E","KLRC1_KLRD1",0.000104633670691447,558.2,0.0970872724734562,392,1.16603778642812,321,1.26079665924839,378,0.923450417130621,563,0,1137
"NK","CD8 T","HLA-B","CD8A",0.000106505424103499,530.6,0.0816736275104284,540,1.07097214425686,398,1.29466185940408,358,0.93905889336229,220,0,1137
"Platelet","Platelet","TGFB1","ITGB3",0.000107003734744701,443.8,0.315490096715543,34,4.58451589995773,21,2.32729120009128,63,0.904789305541977,964,0,1137
"NK","CD8 T","HLA-A","CD8A",0.000111302204266142,500.2,0.0822016148565075,531,1.1445110030316,340,1.37267299694644,314,0.942241671399506,179,0,1137
"NK","CD8 T","HLA-C","CD8A",0.000116270277882828,485.8,0.0807062600483193,554,1.23652541913816,288,1.42575013234837,283,0.944057602473629,167,0,1137
"NK","CD8 T","HLA-E","CD8A",0.000121414192215937,570,0.0816833462354811,539,0.983518019519712,487,1.28783211855037,363,0.933857823986721,324,0,1137
"Memory CD4 T","DC","B2M","CD1C",0.000124586865867253,480.2,0.0925047259519611,424,1.91397015292932,121,1.00611657020103,583,0.94917665952116,136,0,1137
"Platelet","Platelet","TLN1","ITGB3",0.000128546462354273,528.8,0.31888635451229,32,4.4960897909394,25,2.26307649810922,67,0.886601928832073,1383,0,1137
"Memory CD4 T","NK","HLA-B","KLRD1",0.000128919909867276,570.6,0.0779103356795465,587,1.12652591798221,349,1.07860040916112,521,0.936965312374152,259,0,1137
"Naive CD4 T","NK","B2M","KLRD1",0.000139110779981512,569.6,0.0772337907811709,596,1.04066755598961,425,1.00529262073052,584,0.952056562375015,106,0,1137
