"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"CD14+ Mono","CD14+ Mono","S100A8","CD68",2.25205371646204e-07,293.7,0.152399181158522,124,1.52956016384662,149,3.74101757344847,7,0.951117046636221,126,0,1062.5
"Platelet","CD14+ Mono","PF4","LRP1",4.29504267279942e-07,487.3,0.459418171683751,9,6.39666404453379,3,3.94448218309459,2,0.887263893890987,1360,0,1062.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",1.1102395865192e-06,259.1,0.207874443779892,67,1.83644612792167,106,3.81996380801062,5,0.957848683378405,55,0,1062.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.16546471721906e-06,262.9,0.167933748280562,101,1.82214997716787,107,3.88964388785451,4,0.960851043933028,40,0,1062.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",1.31318740222692e-06,302.9,0.123117422524233,212,1.51526401309283,154,3.81069765329236,6,0.954576150888974,80,0,1062.5
"Memory CD4 T","Platelet","CD40LG","CD9",2.40746001682459e-06,384.9,0.446645601645266,12,4.91675990416132,16,3.35340222082388,12,0.913310843588313,822,0,1062.5
"Platelet","DC","PF4","CXCR3",2.88666984645758e-06,378.1,0.386480328502644,17,6.50529635036361,2,4.24310460433955,1,0.913859822198469,808,0,1062.5
"CD14+ Mono","NK","S100A8","ITGB2",5.18404090248716e-06,293.1,0.125912792027586,201,1.55239633168063,145,3.64011762851051,9,0.959114275878335,48,0,1062.5
"CD14+ Mono","NK","CD14","ITGB2",6.96796496583688e-06,346.7,0.158565525802214,113,1.36801125068371,197,2.28978542471057,65,0.935305658404622,296,0,1062.5
"CD14+ Mono","NK","S100A9","ITGB2",9.8162071397128e-06,313.7,0.101720089959941,317,1.53810018092684,147,3.7097977083544,8,0.962030064069903,34,0,1062.5
"CD14+ Mono","B","S100A8","CD69",1.01297987768008e-05,369.3,0.113259836570879,251,1.10243670380189,319,3.00028580030944,25,0.941842597694097,189,0,1062.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.03682437260273e-05,616.1,0.777353874293399,2,6.59445317406504,1,2.61494876068061,47,0.859831456559259,1968,0,1062.5
"CD14+ Mono","Memory CD4 T","S100A8","CD69",1.0615165304639e-05,371.7,0.112478045071984,253,1.09886791770084,322,2.88910937041053,31,0.941652605303759,190,0,1062.5
"CD14+ Mono","Platelet","S100A8","CD68",1.45585460107357e-05,373.5,0.0991327245882694,333,1.23489318788306,248,3.4050868643661,11,0.940093063023208,213,0,1062.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","ITGB2",1.52064520588176e-05,346.7,0.0974529299490394,346,1.31527448426196,219,3.15409336301445,16,0.953784355899855,90,0,1062.5
"CD14+ Mono","Naive CD4 T","S100A8","CD69",2.36649941971537e-05,415.1,0.0977765349141347,345,1.03175725559973,378,2.81699222903946,37,0.937683427898449,253,0,1062.5
"Naive CD4 T","Platelet","CD40LG","CD9",2.72349410883439e-05,479.1,0.269793701083501,36,4.74800799877417,18,3.11833644232016,17,0.891164702853983,1262,0,1062.5
"CD14+ Mono","CD8 T","S100A8","CD69",4.66752749462895e-05,457.5,0.0869902656109122,433,0.982519206802843,423,2.7026791780256,42,0.934179717536893,327,0,1062.5
"CD14+ Mono","CD14+ Mono","S100A8","CD36",5.6623766044623e-05,435.9,0.240868394490234,46,1.35848161034017,201,3.26938532569548,14,0.911662262424241,856,0,1062.5
"NK","NK","SPON2","ITGB2",5.97427311395586e-05,293.5,0.175301002086191,91,2.10608074986433,95,2.63272942256079,45,0.944203113915888,174,0,1062.5
"Platelet","Memory CD4 T","PF4","CXCR3",6.47129815185581e-05,471.1,0.236348427874332,49,6.32219313749193,5,3.93556294174471,3,0.892430771391236,1236,0,1062.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRA3",7.18385232711409e-05,427.7,0.0990597593821499,334,1.39744607870036,184,1.33851163411192,335,0.939607442629257,223,0,1062.5
