"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",2.48259291016359e-07,530.9,0.516370300611916,9,6.80498810554052,3,3.84998741419846,4,0.88042708265121,1569,0,1069.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",7.19307120129112e-06,648.5,0.899028192469828,2,6.99009525385605,1,2.43020584168391,56,0.859244392341781,2114,0,1069.5
"Platelet","DC","PF4","CXCR3",7.19307120129112e-06,384.5,0.358150573572989,29,6.93020004945074,2,4.08575133172457,1,0.912309844522199,821,0,1069.5
"DC","Platelet","HBEGF","CD9",1.10860693839577e-05,742.7,0.488489120059265,12,4.26853012729649,32,3.07998444260713,19,0.837946660840106,2581,0,1069.5
"Memory CD4 T","Platelet","CD40LG","CD9",1.57666184952079e-05,442.9,0.421384923883921,19,4.15899795524771,36,3.24170723546252,17,0.899574196069788,1073,0,1069.5
"NK","NK","SPON2","ITGB2",1.68890767019385e-05,304.9,0.179245920636185,130,2.11791696229136,127,2.6450699842437,46,0.946372706512563,152,0,1069.5
"CD8 T","DC","B2M","CD1C",2.26760545014258e-05,446.1,0.0983461912500809,450,2.13592946738038,124,1.20799669987666,450,0.949146579581903,137,0,1069.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",2.89029148307906e-05,282.5,0.194609782126983,107,1.79943665095627,174,3.79600037717444,6,0.957662632421347,56,0,1069.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",3.0245439188106e-05,290.1,0.161429744529254,163,1.78549085033918,176,3.86477735484106,2,0.960625697369045,40,0,1069.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRA3",3.54266785827956e-05,542.5,0.0947122567712797,485,1.28243486180755,330,1.15629246970484,492,0.933513213968878,336,0,1069.5
"Naive CD4 T","Platelet","CD40LG","CD9",3.96098788448803e-05,532.3,0.30176223735245,48,4.04752266697241,49,3.06080815148591,20,0.883453538225149,1475,0,1069.5
"Platelet","Memory CD4 T","PF4","CXCR3",4.49055327673185e-05,516.7,0.20161292086439,101,6.73090578230561,4,3.84142906186621,5,0.886438589609009,1404,0,1069.5
"CD8 T","NK","HLA-B","KLRD1",4.71730047111574e-05,470.9,0.0913199157690284,521,1.40324094283692,270,1.45153050772824,283,0.940546762009561,211,0,1069.5
"CD8 T","Platelet","CCL5","CCR5",6.09786316808742e-05,552.9,0.18095758836232,122,1.72971226769808,190,2.10078983104333,80,0.890317243090943,1303,0,1069.5
"CD8 T","Platelet","IL32","ITGB3",6.21387091632083e-05,371.9,0.284930502840594,51,4.47744739229167,25,1.80430626948381,137,0.922837097949735,577,0,1069.5
"CD8 T","FCGR3A+ Mono","HLA-A","LILRB1",6.24112552612687e-05,565.1,0.0902233574456266,528,1.2612984295979,347,1.08592900625185,551,0.933817119782454,330,0,1069.5
"Platelet","Platelet","TLN1","ITGB3",6.55207698750367e-05,482.1,0.416809366053559,21,5.03475899686138,16,2.39386205837936,58,0.892346981922339,1246,0,1069.5
"CD8 T","NK","B2M","KLRD1",6.76776169933068e-05,442.7,0.0881925720318651,560,1.59698038735663,219,1.45347876243724,282,0.953702940103004,83,0,1069.5
"CD8 T","Platelet","IL16","CD9",7.46655062127661e-05,518.1,0.136889966603372,221,4.00383067112412,52,3.25212447480862,15,0.892714265844899,1233,0,1069.5
"NK","FCGR3A+ Mono","SPON2","ITGB2",7.73809300941062e-05,345.3,0.141232992659966,209,1.89222222176481,149,2.17556999474513,76,0.939992618641607,223,0,1069.5
"Platelet","CD8 T","PF4","CXCR3",8.79480398042282e-05,540.3,0.18736216351234,115,6.71276258037561,5,3.79002055651606,7,0.882696311133322,1505,0,1069.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRB1",8.9353888501626e-05,553.9,0.0858263261926537,592,1.31146830273321,312,1.14891212450074,499,0.935592383200658,297,0,1069.5
"Memory CD4 T","DC","B2M","CD1C",9.96051506170974e-05,491.3,0.0941409476741758,491,1.89764172026685,146,1.0248088646567,605,0.948081510499893,145,0,1069.5
"CD8 T","Platelet","GZMA","F2R",0.000101838769958662,647.7,0.206918606532955,95,1.52225343158763,239,1.79623158341541,143,0.87595680617306,1692,0,1069.5
"CD8 T","FCGR3A+ Mono","HLA-B","LILRB1",0.000102941711952472,612.7,0.0847296952699846,609,1.18468888666383,383,1.04100086462975,586,0.929682308390808,416,0,1069.5
"CD14+ Mono","CD14+ Mono","S100A8","CD68",0.000108760943748643,326.5,0.145712181731313,202,1.51268003245399,243,3.78995056904976,8,0.951392270963431,110,0,1069.5
"Memory CD4 T","NK","B2M","KLRD1",0.00010899547894389,495.9,0.0844214931292112,616,1.3586926402431,286,1.27029092721728,412,0.952728546281281,96,0,1069.5
"CD8 T","NK","B2M","CD247",0.000110544905904895,497.1,0.061410655807497,1016,1.50339774568644,244,1.74482805885611,154,0.966863680975619,2,0,1069.5
"CD14+ Mono","NK","S100A8","ITGB2",0.000119793825894346,322.7,0.131520219633942,249,1.52878398461371,237,3.6509922724506,10,0.95927057114119,48,0,1069.5
"Platelet","CD8 T","SNCA","LAG3",0.000124838110854592,681.7,0.552056808386077,7,3.80241574378601,72,2.2050279182308,70,0.856821149549697,2190,0,1069.5
"Memory CD4 T","Platelet","IL32","ITGB3",0.000131948601989449,391.3,0.268223547730501,61,4.41810708275562,28,1.71688499490687,158,0.920658047659015,640,0,1069.5
"CD8 T","FCGR3A+ Mono","CD99","PILRA",0.000132982676881281,599.5,0.0881926660077466,559,1.23816892707182,357,1.32740605750699,371,0.920640832171068,641,0,1069.5
"Platelet","Platelet","CALM3","MYLK",0.000135455068584253,497.5,0.400511372453602,23,3.78458433546253,74,2.19949520707995,72,0.892239745142639,1249,0,1069.5
"CD8 T","FCGR3A+ Mono","B2M","LILRB1",0.00014368448182429,549.1,0.081828040361273,651,1.37842833118354,282,1.04294911933876,583,0.945102314358191,160,0,1069.5
"Platelet","Platelet","TGFB1","ITGB3",0.000177288693895049,522.1,0.285855843194519,50,4.62642270897451,23,2.06991683200408,81,0.887022703315717,1387,0,1069.5
