"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Memory CD4 T","Platelet","CD40LG","CD9",3.69818513177537e-06,420.2,0.431720918204279,17,4.3278769131318,22,3.20284014169745,15,0.90625846183045,966,0,1081
"Platelet","Platelet","THBS1","ITGA2B_ITGB3",7.30624833913156e-06,639.4,0.944553591670148,2,6.64859020518729,2,2.44117137729133,53,0.859625898965338,2059,0,1081
"Platelet","CD14+ Mono","PF4","LRP1",1.03200231192145e-05,567.8,0.359544808610594,31,6.12738450381638,7,3.79875661232289,5,0.873934911869007,1715,0,1081
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.61390324112832e-05,535.2,0.939426530617402,4,6.90057482546077,1,2.77186823798631,36,0.87995848897583,1554,0,1081
"Platelet","Memory CD4 T","PF4","CXCR3",2.05016234384416e-05,482.6,0.325798969988878,39,6.12211931253802,8,3.86083221278971,3,0.891270212184948,1282,0,1081
"CD8 T","FCGR3A+ Mono","HLA-C","LILRA3",2.49183076390689e-05,483.8,0.0960914710958585,455,1.33475622421419,272,1.27094283826555,377,0.93752545118851,234,0,1081
"CD8 T","DC","B2M","CD1C",2.63178688522398e-05,444.8,0.0956259604262712,460,2.14960504162406,160,1.21834288269687,412,0.951492178952483,111,0,1081
"NK","NK","SPON2","ITGB2",2.71822993228986e-05,319,0.168353645822161,135,2.02425792086192,170,2.61713117200876,43,0.943835869858108,166,0,1081
"CD14+ Mono","Memory CD4 T","S100A8","CD69",2.96187070069897e-05,443.2,0.0997151473950712,425,1.06051471470517,458,2.82362271008754,31,0.938660100239693,221,0,1081
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",4.05408150709118e-05,283.2,0.212658829498986,87,1.84085879061287,188,3.81193359684829,4,0.957884842288382,56,0,1081
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",4.1403770434102e-05,290.2,0.16591653325547,140,1.8219475663438,189,3.91691239860474,1,0.960885052049722,40,0,1081
"CD8 T","NK","HLA-B","KLRD1",4.40871921880228e-05,465.6,0.0908328527958379,510,1.35796647096116,263,1.41554782310203,280,0.940604197048308,194,0,1081
"NK","FCGR3A+ Mono","SPON2","ITGB2",5.94074548040268e-05,346.6,0.144787485381676,189,1.88245315264206,181,2.19351412073612,75,0.939702580260147,207,0,1081
"Memory CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",6.17173798453606e-05,565.4,0.471010069414761,15,5.03691641417392,15,2.0525283422153,88,0.8769838532981,1628,0,1081
"CD14+ Mono","CD14+ Mono","S100A8","CD68",6.25746157841466e-05,316.2,0.156419905753607,161,1.53437543379571,218,3.78256038398308,6,0.951234954827806,115,0,1081
"CD8 T","NK","B2M","KLRD1",6.37269718342459e-05,436.6,0.0865968482104903,549,1.56937817876978,213,1.45718851680997,257,0.9537990136601,83,0,1081
