"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",1.26096634359788e-06,503.9,0.433462497218713,14,5.84557513719265,3,3.84841131904302,2,0.88586182081376,1412,0,1088.5
"Memory CD4 T","Platelet","CD40LG","CD9",4.88080302679892e-06,413.7,0.443162387974253,11,4.28293736217487,22,3.18481037613593,14,0.906344398122883,933,0,1088.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",8.79377270588695e-06,660.1,0.73025890654405,2,6.05663797686634,1,2.42979277418465,51,0.853281749224769,2158,0,1088.5
"Platelet","DC","PF4","CXCR3",8.79377270588695e-06,431.3,0.315057489545639,31,5.90485228667788,2,4.02846395383135,1,0.901051105407307,1034,0,1088.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",2.58480800589951e-05,274.3,0.202302203733408,68,1.60893287665203,153,3.67546877483635,6,0.956876846503768,56,0,1088.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",2.72169669159728e-05,280.1,0.161139650264066,113,1.59906265103925,155,3.74157003701874,4,0.960080570388813,40,0,1088.5
"NK","NK","SPON2","ITGB2",3.40576228911808e-05,299.5,0.171825085260906,97,2.09351562320993,107,2.61048716338249,41,0.944340176680637,164,0,1088.5
"CD14+ Mono","Memory CD4 T","S100A8","CD69",3.74806240781486e-05,382.1,0.116908410933631,222,1.02499997568992,393,2.9060572568636,21,0.941231693354757,186,0,1088.5
"Platelet","Platelet","F13A1","ITGB1",4.42792772726631e-05,450.5,0.432051443095238,15,4.32362186820801,21,2.49603318605855,46,0.899013538730671,1082,0,1088.5
"CD14+ Mono","B","S100A8","CD69",4.85999646164514e-05,386.7,0.114795232978646,232,1.01531379695679,405,2.9091684004962,20,0.940725165690432,188,0,1088.5
"Naive CD4 T","Platelet","CD40LG","CD9",5.0277714715689e-05,555.3,0.247807095650895,48,4.08565409845061,26,2.89306660820172,22,0.878590766510913,1592,0,1088.5
