"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",6.94524783566856e-07,503.6,0.422547432196743,12,5.1447083066208,6,3.85571417571845,2,0.88550760884498,1391,0,1107
"Memory CD4 T","Platelet","CD40LG","CD9",5.53612532591745e-06,414.6,0.438374226840154,11,3.8523949500709,24,3.20300491542166,12,0.905858064266413,919,0,1107
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",8.03853674391174e-06,631,0.72975229461456,2,5.45426315802283,1,2.56616931986163,40,0.858722849401367,2005,0,1107
"Platelet","DC","PF4","CXCR3",1.19052671849105e-05,437.6,0.314217754345977,31,5.2721188378336,3,4.05654196762502,1,0.899225259937403,1046,0,1107
"Platelet","FCGR3A+ Mono","PF4","LRP1",2.55065819263158e-05,608.4,0.287512400494192,40,5.05208011367736,9,3.7035885329696,5,0.864494747345079,1881,0,1107
"Platelet","Platelet","F13A1","ITGB1",3.16579944069151e-05,457.4,0.410695250540337,13,4.19381800154484,18,2.50722822392811,43,0.89693015730249,1106,0,1107
"Platelet","Memory CD4 T","PF4","CXCR3",3.21283540198287e-05,519,0.231558135807295,61,5.16660523130453,4,3.8420193092501,3,0.884527194796464,1420,0,1107
"CD14+ Mono","B","S100A8","CD69",3.45234022585243e-05,417.2,0.11009598176014,293,0.924127385936693,463,2.93522758270097,17,0.938135281347739,206,0,1107
"NK","NK","SPON2","ITGB2",4.2154696020045e-05,310.6,0.166456818155879,115,2.06849998025142,104,2.47490414062409,46,0.940493705867576,181,0,1107
"Naive CD4 T","Platelet","CD40LG","CD9",4.39687657704488e-05,534.4,0.266509317281067,48,3.66237183275167,30,2.92194286735961,18,0.882388660680079,1469,0,1107
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",4.49974187915145e-05,286.2,0.211796799619774,73,1.36116250235015,184,3.47264851722256,8,0.955697128668575,59,0,1107
"B","CD8 T","HLA-DQA1","LAG3",4.69704216581575e-05,607.6,0.242943841855624,55,1.35119870429701,186,1.91799541225575,96,0.87752887846427,1594,0,1107
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",4.79807769810653e-05,292.2,0.165204462627376,117,1.34977031308629,187,3.46918283054335,9,0.958994246029264,41,0,1107
"CD14+ Mono","Memory CD4 T","S100A8","CD69",4.82208240902792e-05,404.4,0.115242108335044,265,0.94906051716715,441,2.87198390176275,20,0.939447742785915,189,0,1107
"Platelet","CD8 T","PF4","CXCR3",5.01804115054044e-05,537,0.21528287523267,71,5.1458301361518,5,3.82210365854306,4,0.880752885016137,1498,0,1107
"B","CD8 T","HLA-DQB1","LAG3",5.32778177992188e-05,613.4,0.255587860925395,50,1.33679936371859,192,2.00325215833824,85,0.875996796504479,1633,0,1107
"CD14+ Mono","CD14+ Mono","S100A8","CD68",6.28870392612371e-05,328.2,0.162679837723464,123,1.13281240237086,290,3.47635548814928,6,0.949763442248543,115,0,1107
"Memory CD4 T","Platelet","IL32","ITGB3",6.41010389193896e-05,361.8,0.266552223518913,47,3.58658453127896,38,1.9325582091446,93,0.922444871614262,524,0,1107
"CD14+ Mono","CD14+ Mono","S100A9","CD68",6.47150290599262e-05,341.4,0.126892546155851,213,1.121420213107,306,3.47288980147008,7,0.953480662490627,74,0,1107
