"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",1.87635264247234e-06,502.3,0.41889318700098,16,5.86334063733449,3,3.83086758917345,2,0.885416879866969,1393,0,1097.5
"Platelet","DC","PF4","CXCR3",8.77903969002347e-06,433.7,0.339445862962773,28,5.94446144703816,2,4.01991011995828,1,0.900756477728076,1040,0,1097.5
"Memory CD4 T","Platelet","CD40LG","CD9",8.98543473575559e-06,419.9,0.432561172542665,13,4.20816005841252,27,3.15543398399357,14,0.905486796550953,948,0,1097.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.97445584921115e-05,644.7,0.729217042274413,3,5.95314244312563,1,2.51582120302341,46,0.85549790607467,2076,0,1097.5
"Naive CD4 T","Platelet","CD40LG","CD9",3.36617838435548e-05,528.9,0.269359638795801,42,4.04327232798051,32,2.91578877539526,21,0.883180025728774,1452,0,1097.5
"Platelet","Memory CD4 T","PF4","CXCR3",3.50867205082482e-05,515.1,0.241613510690814,54,5.83143184354188,4,3.81672588703137,3,0.884491700620397,1417,0,1097.5
"CD14+ Mono","Memory CD4 T","S100A8","CD69",3.81605913090036e-05,377.9,0.118260559448549,217,1.03777016963858,375,2.94207652275627,20,0.941985313937005,180,0,1097.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",3.91505934799797e-05,279.9,0.20921817038976,69,1.60931658995126,170,3.67336165722028,6,0.95687408181463,57,0,1097.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",4.007302619799e-05,286.1,0.160698384196089,118,1.59782435992339,171,3.73009248251088,4,0.960066599308748,40,0,1097.5
"CD14+ Mono","B","S100A8","CD69",5.04733818517602e-05,393.9,0.111316696547579,251,1.00556421165015,406,2.88777497847818,23,0.940309599345021,192,0,1097.5
"NK","NK","SPON2","ITGB2",5.13248600547458e-05,313.7,0.161050580188467,116,1.98425368588289,128,2.53430108486912,45,0.941716112952967,182,0,1097.5
"Platelet","Platelet","F13A1","ITGB1",6.36831285889605e-05,481.3,0.423311901845955,14,4.06464357870252,30,2.42719179206392,52,0.893057818024932,1213,0,1097.5
"CD14+ Mono","CD14+ Mono","S100A8","CD68",6.70927365012833e-05,311.3,0.158718492657731,123,1.35306718527427,219,3.6435923362491,7,0.950800692765307,110,0,1097.5
"Memory CD4 T","NK","B2M","KLRD1",6.70927365012833e-05,466.5,0.0795175075210108,506,1.31037109067709,236,1.20287425325754,389,0.951407787922974,104,0,1097.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",6.91053758295639e-05,320.1,0.121910086798964,200,1.3415749552464,227,3.70032316153971,5,0.954421394280377,71,0,1097.5
"Memory CD4 T","Platelet","IL32","ITGB3",7.04737566089988e-05,364.3,0.259922106798977,46,3.97663490591914,38,1.78345029121063,129,0.924380497875457,511,0,1097.5
"CD14+ Mono","CD14+ Mono","S100A8","ITGB2",8.61948033186735e-05,437.9,0.0769948526868681,532,1.00920139916056,400,2.95492767087821,19,0.947593930941833,141,0,1097.5
"Platelet","Platelet","TLN1","ITGB3",8.82007805708811e-05,476.1,0.380265391803718,21,4.42839761052487,20,2.33783909025646,58,0.894137233402703,1184,0,1097.5
"CD14+ Mono","NK","CD14","ITGB2",8.94843051250491e-05,379.3,0.137237196473571,159,1.20402934024659,274,2.21446375950558,64,0.933706802783238,302,0,1097.5
"Memory CD4 T","NK","HLA-B","KLRD1",9.63645771461559e-05,561.7,0.0763979366471342,544,1.09161322610259,340,1.00538449476474,544,0.934656311120113,283,0,1097.5
"CD14+ Mono","NK","S100A8","ITGB2",0.000103661696040927,319.9,0.118010435955253,219,1.35271803268748,220,3.48730812941618,9,0.957238765831721,54,0,1097.5
"CD14+ Mono","NK","S100A9","ITGB2",0.00010460406889348,353.1,0.0906426355844539,393,1.34122580265961,228,3.54403895470679,8,0.960405403666777,39,0,1097.5
"Memory CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",0.000104991855991017,565.1,0.465785648283086,8,4.72873947111137,16,2.10527077279394,77,0.87553796540125,1627,0,1097.5
"Memory CD4 T","DC","B2M","CD1C",0.00011239247315805,469.7,0.0902585739302794,394,1.76044524157235,154,0.988948461064014,561,0.947579713089974,142,0,1097.5
"Memory CD4 T","Platelet","IL16","CD9",0.00011691438861456,465.9,0.153096066588359,130,4.02984995878209,33,2.85414628101421,24,0.900698395410598,1045,0,1097.5
"NK","Platelet","CALR","ITGA2B",0.000118277387991248,318.7,0.215332640971539,64,5.73513978174002,5,2.73024765248948,33,0.929502899103121,394,0,1097.5
"CD14+ Mono","NK","S100A8","CD69",0.00011958166611626,508.7,0.0812406554866271,493,0.866070139160297,546,2.54974096677455,44,0.930833014540791,363,0,1097.5
"CD14+ Mono","NK","HLA-B","KLRD1",0.000142170520010952,591.7,0.0730675945469939,588,1.01784071855964,391,0.979889377070654,567,0.93328200204116,315,0,1097.5
"Platelet","Platelet","TGFB1","ITGB3",0.000147985663576371,485.5,0.289146165268668,38,4.14830176560974,28,2.13762941115152,69,0.893633156640004,1195,0,1097.5
"B","FCGR3A+ Mono","CD52","SIGLEC10",0.000168050890411513,612.1,0.0919000851957742,381,1.009960081396,399,0.942048043408783,608,0.921429802086554,575,0,1097.5
"Memory CD4 T","CD8 T","HLA-A","CD8A",0.000169437441393009,611.3,0.0718498921240844,609,0.848696971883065,567,1.01906164185434,531,0.936473229450135,252,0,1097.5
"Platelet","Platelet","CALM3","MYLK",0.000175020548329342,532.9,0.383963936748848,20,3.53757868796001,64,2.12821277103581,73,0.884860737231564,1410,0,1097.5
"Memory CD4 T","Platelet","SELPLG","ESAM",0.000183452239495061,818.5,0.122212495092082,198,3.55159909924879,63,1.41473317246255,251,0.83328381586119,2483,0,1097.5
"CD14+ Mono","CD8 T","S100A8","CD69",0.000191357668082631,480.7,0.0862204803537051,428,0.889166797712769,514,2.67257547873024,38,0.932723776054535,326,0,1097.5
"CD14+ Mono","CD8 T","S100A8","ITGB2",0.000191357668082631,471.5,0.0702850020498922,624,0.953004580327097,452,2.85198070887584,25,0.945283190662546,159,0,1097.5
"Platelet","Memory CD4 T","MYL9","CD69",0.000197309087408063,344.7,0.194542313122308,76,4.40839382857891,22,2.56401610523493,43,0.925528644412571,485,0,1097.5
"Platelet","DC","APP","CD74",0.00019833881622266,342.9,0.110588875081948,256,1.94604912862304,129,2.32484650969857,59,0.943194777663707,173,0,1097.5
"NK","FCGR3A+ Mono","SPON2","ITGB2",0.000201420770840519,349.3,0.133186971909232,173,1.81325437661229,145,2.12106503069632,74,0.936278796589594,257,0,1097.5
"Memory CD4 T","FCGR3A+ Mono","HLA-C","LILRA3",0.000205561354935669,579.7,0.0863315481844752,424,0.959129756400876,445,0.919176530078039,633,0.933831407373748,299,0,1097.5
"Memory CD4 T","NK","B2M","CD247",0.000207691434624538,497.9,0.055298534547904,907,1.25399801784614,259,1.47370442750862,219,0.965277939905307,7,0,1097.5
"Platelet","CD8 T","SNCA","LAG3",0.000213164027780619,640.1,0.603013985534901,6,3.40842377925897,78,2.13138380394404,71,0.8609646034353,1948,0,1097.5
"CD14+ Mono","CD14+ Mono","CD14","ITGB2",0.000232887621565401,569.7,0.0895391804979685,399,0.860512706719676,552,1.68208330096761,151,0.919202315878176,649,0,1097.5
"B","NK","HLA-B","KLRD1",0.000232887621565401,630.9,0.0687850614741729,649,0.922975628452435,478,0.970641568220232,575,0.931376813982196,355,0,1097.5
"CD14+ Mono","Naive CD4 T","S100A8","CD69",0.000236498213468885,436.3,0.0968691629341595,339,0.938555881096082,463,2.8011289475095,26,0.936286732946194,256,0,1097.5
"Platelet","B","APP","CD74",0.000241249652331846,343.9,0.107154430422308,269,1.89422279240208,135,2.59871296614701,41,0.942343688325165,177,0,1097.5
"Platelet","NK","CLEC1B","KLRB1",0.000247354045950508,629.1,0.422359226316556,15,4.51795936315351,19,2.0505489174579,82,0.861621000209288,1932,0,1097.5
"CD14+ Mono","B","TNFSF13B","HLA-DPB1",0.000249489567189216,482.3,0.0682777470300439,658,1.10497733208666,335,2.13254153448073,70,0.936593484227799,251,0,1097.5
"CD14+ Mono","FCGR3A+ Mono","CD14","ITGB2",0.000261073816767546,456.5,0.11349357829222,241,1.03303003097599,379,1.80122770533278,125,0.927579756886777,440,0,1097.5
"Platelet","NK","GP1BA","ITGAM_ITGB2",0.000265728950618414,421.9,0.207130062924525,71,4.9574212752434,14,2.04447957791711,84,0.910818285793017,843,0,1097.5
"Platelet","Platelet","CALM3","GP6",0.000284983580767681,581.3,0.390444071128744,19,3.32232781760174,86,2.00788887077462,86,0.875715626598688,1618,0,1097.5
