"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",9.57834847564089e-07,508.6,0.40799501272719,13,5.12256253332224,4,3.7982301260218,3,0.881278101577412,1457,0,1066
"Platelet","DC","PF4","CXCR3",2.12299706633437e-06,431.8,0.300935114392795,33,5.23803610045577,1,4.00855958123962,1,0.898711228268411,1058,0,1066
"Memory CD4 T","Platelet","CD40LG","CD9",6.78679958071084e-06,416.4,0.436906122182541,10,3.85994341012246,25,3.20514620156803,11,0.903616708936705,970,0,1066
"Platelet","Memory CD4 T","PF4","CXCR3",8.48848803842157e-06,472.8,0.250959676062829,51,5.17456970395803,2,3.83375085533122,2,0.890141278949742,1243,0,1066
"Platelet","FCGR3A+ Mono","PF4","LRP1",1.70242592305715e-05,590,0.297980004396226,34,5.04787577035342,6,3.67506387658737,4,0.86383038863946,1840,0,1066
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.90912250109349e-05,632.8,0.727907740168748,2,5.13769434771202,3,2.51367344692003,45,0.853451067005184,2048,0,1066
"CD14+ Mono","Memory CD4 T","S100A8","CD69",3.87142339625159e-05,392.6,0.113582384159073,234,0.930570611925822,449,2.84754415008011,23,0.939347718093647,191,0,1066
"Memory CD4 T","NK","B2M","KLRD1",4.4960806349834e-05,424.2,0.0815074300455703,475,1.49472825217323,171,1.26498695614159,318,0.951577822138201,91,0,1066
"NK","NK","SPON2","ITGB2",4.69691821628633e-05,304.6,0.159586962604974,122,2.06829373833138,105,2.42128227472239,49,0.940985225062823,181,0,1066
"CD14+ Mono","B","S100A8","CD69",4.98970346313437e-05,395,0.112307425513475,239,0.924415647606006,456,2.93086149772523,19,0.939025348007839,195,0,1066
"Naive CD4 T","Platelet","CD40LG","CD9",5.38741207037917e-05,543,0.256115284451254,50,3.66603177478647,32,2.92039337722589,20,0.877721388984513,1547,0,1066
"Platelet","Platelet","F13A1","ITGB1",5.71538463531565e-05,477.2,0.398086715836355,15,3.77460810843991,29,2.4124554427502,51,0.890873132898784,1225,0,1066
"CD14+ Mono","CD14+ Mono","S100A8","CD68",6.41529931554359e-05,325.4,0.158027586646045,123,1.12012750772029,317,3.46545066798867,7,0.949678871124738,114,0,1066
"CD14+ Mono","CD14+ Mono","S100A9","CD68",6.60621751253788e-05,338.2,0.119114581947498,218,1.10851323390716,325,3.45068493288326,8,0.953355238378308,74,0,1066
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",6.70660740242957e-05,279.8,0.207417311023985,73,1.35432824210913,198,3.48205348711092,5,0.955793938311275,57,0,1066
"NK","Platelet","CALR","ITGA2B",7.1594855618573e-05,289,0.23723199512826,55,5.10385157930863,5,2.84085808001446,24,0.932803278962146,295,0,1066
"Memory CD4 T","Platelet","IL32","ITGB3",7.48677470102679e-05,356,0.263539430867413,49,3.57184182066412,38,1.8835116346993,101,0.922342266886424,526,0,1066
"Memory CD4 T","NK","HLA-B","KLRD1",7.63019533293858e-05,512.2,0.0779689353200324,528,1.25221919520674,245,1.07728497702392,462,0.934684107512358,260,0,1066
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",7.69731207947532e-05,289,0.156342489407462,128,1.342713968296,205,3.46728775200551,6,0.959042817627315,40,0,1066
"CD14+ Mono","NK","CD14","ITGB2",8.38064455907557e-05,380.8,0.137474373399184,163,1.09819254708673,331,2.11140489734441,70,0.93385071960764,274,0,1066
"Platelet","Platelet","TLN1","ITGB3",8.38825519107222e-05,472.4,0.371537913265411,19,3.87947617375142,24,2.30025851486072,58,0.89197193189938,1195,0,1066
"Memory CD4 T","DC","B2M","CD1C",9.3579235058981e-05,461.8,0.088901743569047,401,1.67069955942216,147,0.99461941554358,550,0.946442636151287,145,0,1066
"CD14+ Mono","NK","S100A8","ITGB2",9.52930948887928e-05,317.6,0.121628593553315,208,1.23526682497659,255,3.34882498905288,9,0.957116591729931,50,0,1066
"CD14+ Mono","NK","S100A9","ITGB2",9.61593900497698e-05,350.4,0.0916785441165743,381,1.22365255116346,260,3.33405925394747,10,0.960272304408743,35,0,1066
"Memory CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",0.000105553786879769,559.8,0.471180073468521,8,4.17044449404308,16,2.16276239548549,65,0.873158304349901,1644,0,1066
"CD14+ Mono","CD14+ Mono","S100A8","ITGB2",0.000108963573545216,470.2,0.0752569371595642,567,0.840056173583006,544,2.83362063670462,27,0.946109709797524,147,0,1066
"CD14+ Mono","NK","HLA-B","KLRD1",0.000111876873656419,536.2,0.0749536847812953,570,1.18619630265087,279,1.05319100870149,484,0.933469834594366,282,0,1066
"Memory CD4 T","Platelet","IL16","CD9",0.000115290508348553,491,0.137426832790009,164,3.62621435946753,36,2.86927139627683,22,0.893109480112827,1167,0,1066
"Memory CD4 T","CD8 T","HLA-A","CD8A",0.000127392943904335,555,0.074020735818226,585,0.947439514518413,438,1.10816786045091,442,0.93563438347778,244,0,1066
"Memory CD4 T","Platelet","SELPLG","ESAM",0.000139052525497363,801.8,0.12951943715358,184,3.19318784894983,58,1.39593686545017,238,0.832403511920574,2463,0,1066
"CD14+ Mono","Naive CD4 T","S100A8","CD69",0.000139829029073163,419.2,0.103476459915152,290,0.881783458432782,486,2.83984742431751,25,0.936638223361822,229,0,1066
"B","NK","HLA-B","KLRD1",0.000141006034458682,554.8,0.0731642753316537,597,1.14701481961509,299,1.03121152351895,515,0.932715581520955,297,0,1066
"CD14+ Mono","NK","S100A8","CD69",0.000147010549075569,494.4,0.0860132980969022,431,0.797478655078138,602,2.63101894669751,36,0.930926887800849,337,0,1066
"Platelet","Platelet","CALM3","MYLK",0.000153250148806473,526.8,0.376651060373139,17,3.21506126853011,54,2.10119606341272,71,0.882530623185727,1426,0,1066
"Memory CD4 T","NK","B2M","CD247",0.000153455669863942,517.8,0.0508599250521458,1028,1.2531345834975,244,1.3974266423674,235,0.962779965974781,16,0,1066
"CD14+ Mono","FCGR3A+ Mono","CD14","ITGB2",0.00015833323842363,471.6,0.10944928636687,257,0.886874330116743,480,1.74649874025619,124,0.926451352114683,431,0,1066
"Memory CD4 T","Platelet","CALR","ITGA2B",0.000166282988392109,467.2,0.110502818881086,249,4.68939689670036,9,2.21028091876658,63,0.904527211701156,949,0,1066
"Memory CD4 T","Memory CD4 T","B2M","CD3D",0.000171396339042155,871,0.0354326931680086,1570,0.777412179358364,633,0.632779041584086,1081,0.964309037650105,5,0,1066
"Platelet","CD8 T","SNCA","LAG3",0.000180412609237323,676.6,0.561830903185831,6,3.0891666527243,75,2.0796704408477,74,0.847753288237575,2162,0,1066
"Platelet","Platelet","TGFB1","ITGB3",0.000180412609237323,486,0.274553550265,45,3.60690989098681,37,2.07603465161949,75,0.891458796415028,1207,0,1066
"Memory CD4 T","CD8 T","HLA-E","CD8A",0.00018599995518731,647.4,0.0706842176422559,631,0.849496358404327,535,1.00047484136243,545,0.924950834557587,460,0,1066
"CD14+ Mono","FCGR3A+ Mono","S100A8","ITGB2",0.000191970576817474,378.4,0.0968337766309503,346,1.0239486080066,379,2.98391883196467,15,0.952186464217706,86,0,1066
"CD14+ Mono","FCGR3A+ Mono","S100A9","ITGB2",0.000195012839100924,426,0.0729892486912928,600,1.01233433419347,387,2.96915309685925,17,0.955688179501542,60,0,1066
"B","NK","B2M","KLRD1",0.00019654836568072,555,0.074251339888303,581,1.03461627445702,372,0.907786308980561,638,0.94938393956159,118,0,1066
"CD14+ Mono","B","TNFSF13B","HLA-DPB1",0.00019654836568072,488.4,0.0698162696291388,638,0.980682295104552,408,1.9506808875957,89,0.935786289702427,241,0,1066
"Platelet","DC","APP","CD74",0.000212734302655385,335,0.108561941649083,265,1.89052363588803,112,2.26615864481935,60,0.941967767230476,172,0,1066
"Memory CD4 T","Platelet","HSP90AA1","ITGB3",0.000222417272745168,539.8,0.133673807998001,172,3.18502662735054,59,1.34164759664275,268,0.894811531997217,1134,0,1066
"NK","FCGR3A+ Mono","SPON2","ITGB2",0.000222417272745168,343.8,0.12705407370618,192,1.85697552136139,113,2.05637611763417,80,0.934327790968632,268,0,1066
"Platelet","Memory CD4 T","MYL9","CD69",0.000226841974656863,346.4,0.184984986848116,81,3.95882222360461,20,2.52539678059037,43,0.922399296308804,522,0,1066
"CD14+ Mono","NK","LYZ","ITGAL",0.000241810007142931,516.4,0.0684534582838522,665,0.988556275758762,403,2.59776224836653,39,0.927603425061536,409,0,1066
"Platelet","NK","GP1BA","ITGAM_ITGB2",0.000243910728356801,410.4,0.2103584616241,70,4.20584998173609,15,1.98328590331437,83,0.910703696316188,818,0,1066
"CD8 T","Platelet","IL32","ITGB3",0.000261807200800175,335,0.287604445648634,38,3.65877643314692,33,1.98067572170345,85,0.925414579924998,453,0,1066
"Memory CD4 T","CD8 T","HLA-C","CD8A",0.000264429185200222,623.6,0.0674313489969234,677,0.827991574554257,566,0.975837947069879,569,0.935915802646063,240,0,1066
"NK","FCGR3A+ Mono","HLA-C","LILRA3",0.000264460931528843,392,0.105349019361972,280,1.36707753160615,194,1.44513444720956,214,0.937748680614371,206,0,1066
"Memory CD4 T","FCGR3A+ Mono","HLA-C","LILRA3",0.000270340185148833,615,0.0857952302080429,436,0.826886647208248,569,0.878160963208003,680,0.931479712588001,324,0,1066
"Platelet","B","APP","CD74",0.000272004231486114,338.2,0.105053622224997,282,1.83439703543836,115,2.46477865078835,48,0.941063358061057,180,0,1066
"B","FCGR3A+ Mono","CD52","SIGLEC10",0.000274339230819129,655.2,0.0863866739583095,427,0.867092285746066,500,0.877286123594842,682,0.919095278988898,601,0,1066
